External ID,Bank ACC ID,Customer,Entity Internal ID,Date,Advance Ref#,Deposit Amount,Memo
CUST_DEPOSIT-100386,1316,Graniti Vicentia,1938,01/01/2022,,60187.00,
CUST_DEPOSIT-100387,1316,Graniti Vicentia,1938,03/31/2024,,19666980.03,Adjust Customer Deposits/AR
CUST_DEPOSIT-100388,1316,Graniti Vicentia,1938,12/31/2021,,840235.00,Origional Date : 31-12-2021
