External ID,No,Debit Acc,Account Internal ID,Credit Acc #,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt
AUGCOGS-37412/2,14,A50001 - Cost Of Goods Sold (New),977,,08/08/2025,Ascent Hospitality Element Carmel Indiana,3314,37412/2,Ascent Hospitality Element Carmel Indiana - Aug  material cost transferred from sps,708.08,
AUGCOGS-37412/2,14.5,,953,A12001 - Inventory (New),08/08/2025,Ascent Hospitality Element Carmel Indiana,3314,37412/2,Ascent Hospitality Element Carmel Indiana - Aug  material cost transferred from sps,,708.08
AUGCOGS-38292,15,A50001 - Cost Of Goods Sold (New),977,,08/08/2025,Veranda Homes,2275,38292,Veranda Homes - Aug  material cost transferred from sps,24766.76,
AUGCOGS-38292,15.5,,953,A12001 - Inventory (New),08/08/2025,Veranda Homes,2275,38292,Veranda Homes - Aug  material cost transferred from sps,,24766.76
AUGCOGS-38292/2,16,A50001 - Cost Of Goods Sold (New),977,,08/08/2025,Veranda Homes,2275,38292/2,Veranda Homes - Aug  material cost transferred from sps,9768.70,
AUGCOGS-38292/2,16.5,,953,A12001 - Inventory (New),08/08/2025,Veranda Homes,2275,38292/2,Veranda Homes - Aug  material cost transferred from sps,,9768.70
AUGCOGS-36663/2,17,A50001 - Cost Of Goods Sold (New),977,,08/11/2025,Ascent Hospitality Tribute Carmel Indiana,2628,36663/2,Ascent Hospitality Tribute Carmel Indiana - Aug  material cost transferred from sps,566.78,
AUGCOGS-36663/2,17.5,,953,A12001 - Inventory (New),08/11/2025,Ascent Hospitality Tribute Carmel Indiana,2628,36663/2,Ascent Hospitality Tribute Carmel Indiana - Aug  material cost transferred from sps,,566.78
AUGCOGS-38579,20,A50001 - Cost Of Goods Sold (New),977,,08/11/2025,Mesquite Gaming,1554,38579,Mesquite Gaming - Aug  material cost transferred from sps,990.31,
AUGCOGS-38579,20.5,,953,A12001 - Inventory (New),08/11/2025,Mesquite Gaming,1554,38579,Mesquite Gaming - Aug  material cost transferred from sps,,990.31
AUGCOGS-36681/10,21,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,Ascent Hospitality Tribute Carmel Indiana,2628,36681/10,Ascent Hospitality Tribute Carmel Indiana - Aug  material cost transferred from sps,147.48,
AUGCOGS-36681/10,21.5,,953,A12001 - Inventory (New),08/12/2025,Ascent Hospitality Tribute Carmel Indiana,2628,36681/10,Ascent Hospitality Tribute Carmel Indiana - Aug  material cost transferred from sps,,147.48
AUGCOGS-36681/9,22,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,Ascent Hospitality Tribute Carmel Indiana,2628,36681/9,Ascent Hospitality Tribute Carmel Indiana - Aug  material cost transferred from sps,2222.38,
AUGCOGS-36681/9,22.5,,953,A12001 - Inventory (New),08/12/2025,Ascent Hospitality Tribute Carmel Indiana,2628,36681/9,Ascent Hospitality Tribute Carmel Indiana - Aug  material cost transferred from sps,,2222.38
AUGCOGS-36782/2,23,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,Ascent Home2 Montgomery,2571,36782/2,Ascent Home2 Montgomery - Aug  material cost transferred from sps,838.15,
AUGCOGS-36782/2,23.5,,953,A12001 - Inventory (New),08/12/2025,Ascent Home2 Montgomery,2571,36782/2,Ascent Home2 Montgomery - Aug  material cost transferred from sps,,838.15
AUGCOGS-36782/4,24,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,Ascent Home2 Montgomery,2571,36782/4,Ascent Home2 Montgomery - Aug  material cost transferred from sps,6753.36,
AUGCOGS-36782/4,24.5,,953,A12001 - Inventory (New),08/12/2025,Ascent Home2 Montgomery,2571,36782/4,Ascent Home2 Montgomery - Aug  material cost transferred from sps,,6753.36
AUGCOGS-36786/3,25,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,Ascent Home2 Montgomery,2571,36786/3,Ascent Home2 Montgomery - Aug  material cost transferred from sps,9522.39,
AUGCOGS-36786/3,25.5,,953,A12001 - Inventory (New),08/12/2025,Ascent Home2 Montgomery,2571,36786/3,Ascent Home2 Montgomery - Aug  material cost transferred from sps,,9522.39
AUGCOGS-37676/4,26,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,Ascent Residence inn Montgomery,3320,37676/4,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,20317.56,
AUGCOGS-37676/4,26.5,,953,A12001 - Inventory (New),08/12/2025,Ascent Residence inn Montgomery,3320,37676/4,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,,20317.56
AUGCOGS-37677/3,27,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,Ascent Residence inn Montgomery,3320,37677/3,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,1973.79,
AUGCOGS-37677/3,27.5,,953,A12001 - Inventory (New),08/12/2025,Ascent Residence inn Montgomery,3320,37677/3,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,,1973.79
AUGCOGS-37678/3,28,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,Ascent Residence inn Montgomery,3320,37678/3,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,1232.29,
AUGCOGS-37678/3,28.5,,953,A12001 - Inventory (New),08/12/2025,Ascent Residence inn Montgomery,3320,37678/3,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,,1232.29
AUGCOGS-37678/7,29,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,Ascent Residence inn Montgomery,3320,37678/7,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,34212.08,
AUGCOGS-37678/7,29.5,,953,A12001 - Inventory (New),08/12/2025,Ascent Residence inn Montgomery,3320,37678/7,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,,34212.08
AUGCOGS-37683/10,30,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,Ascent Residence inn Montgomery,3320,37683/10,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,29639.67,
AUGCOGS-37683/10,30.5,,953,A12001 - Inventory (New),08/12/2025,Ascent Residence inn Montgomery,3320,37683/10,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,,29639.67
AUGCOGS-37683/9,31,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,Ascent Residence inn Montgomery,3320,37683/9,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,1750.49,
