External ID,No,Debit Acc,Account Internal ID,Credit Acc #,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt
AUGCOGS-32521/4,103,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,CAPITOL HOTEL NASHVILLE/Dan,3528,32521/4,CAPITOL HOTEL NASHVILLE/Dan - Aug  material cost transferred from sps,18.37,
AUGCOGS-32521/4,103.5,,953,A12001 - Inventory (New),08/30/2025,CAPITOL HOTEL NASHVILLE/Dan,3528,32521/4,CAPITOL HOTEL NASHVILLE/Dan - Aug  material cost transferred from sps,,18.37
AUGCOGS-32807/12,105,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Marriott Fairfield Harrisburg PA,3529,32807/12,Marriott Fairfield Harrisburg PA - Aug  material cost transferred from sps,265.72,
AUGCOGS-32807/12,105.5,,953,A12001 - Inventory (New),08/30/2025,Marriott Fairfield Harrisburg PA,3529,32807/12,Marriott Fairfield Harrisburg PA - Aug  material cost transferred from sps,,265.72
AUGCOGS-32807/13,106,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Marriott Fairfield Harrisburg PA,3529,32807/13,Marriott Fairfield Harrisburg PA - Aug  material cost transferred from sps,627.87,
AUGCOGS-32807/13,106.5,,953,A12001 - Inventory (New),08/30/2025,Marriott Fairfield Harrisburg PA,3529,32807/13,Marriott Fairfield Harrisburg PA - Aug  material cost transferred from sps,,627.87
AUGCOGS-32888,108,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,"LA QUINTA MODEL ROOM / GV HEADQUARTERS, HOUSTON",3530,32888,"LA QUINTA MODEL ROOM / GV HEADQUARTERS, HOUSTON - Aug  material cost transferred from sps",17594.26,
AUGCOGS-32888,108.5,,953,A12001 - Inventory (New),08/30/2025,"LA QUINTA MODEL ROOM / GV HEADQUARTERS, HOUSTON",3530,32888,"LA QUINTA MODEL ROOM / GV HEADQUARTERS, HOUSTON - Aug  material cost transferred from sps",,17594.26
AUGCOGS-32888/4,109,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,"LA QUINTA MODEL ROOM / GV HEADQUARTERS, HOUSTON",3530,32888/4,"LA QUINTA MODEL ROOM / GV HEADQUARTERS, HOUSTON - Aug  material cost transferred from sps",29.89,
AUGCOGS-32888/4,109.5,,953,A12001 - Inventory (New),08/30/2025,"LA QUINTA MODEL ROOM / GV HEADQUARTERS, HOUSTON",3530,32888/4,"LA QUINTA MODEL ROOM / GV HEADQUARTERS, HOUSTON - Aug  material cost transferred from sps",,29.89
AUGCOGS-32981/4,110,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,LAQUINTA YUMA AZ,3531,32981/4,LAQUINTA YUMA AZ - Aug  material cost transferred from sps,1325.98,
