External ID,S.no,Debit,Account ID,Credit ,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt
AUGCOGS-21576/VE,98.5,,981,A51001 - Freight - Out - Expense (New),08/30/2025,Mirage Granito Ceramico S.p.A.,173,21576/VE,Mirage Granito Ceramico S.p.A. - Aug  material cost transferred from sps,,3922
AUGCOGS-250221USA-122,99,A51001 - Freight - Out - Expense (New),981,,08/30/2025,"Beijing Topli Decorative Materials Co., LTD",1233,250221USA-122,"Beijing Topli Decorative Materials Co., LTD - Aug  material cost transferred from sps",3072.86,
AUGCOGS-250221USA-122,99.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,"Beijing Topli Decorative Materials Co., LTD",1233,250221USA-122,"Beijing Topli Decorative Materials Co., LTD - Aug  material cost transferred from sps",,3072.86
AUGCOGS-SR273-44P2,100,A51001 - Freight - Out - Expense (New),981,,08/21/2025,HARMONY HOSPITALITY CO LTD,2517,SR273-44P2,HARMONY HOSPITALITY CO LTD - Aug  material cost transferred from sps,264.45,
AUGCOGS-SR273-44P2,100.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/21/2025,HARMONY HOSPITALITY CO LTD,2517,SR273-44P2,HARMONY HOSPITALITY CO LTD - Aug  material cost transferred from sps,,264.45
AUGCOGS-SR273-44P2,101,A12001 - Inventory (New),953,,08/21/2025,HARMONY HOSPITALITY CO LTD,2517,SR273-44P2,HARMONY HOSPITALITY CO LTD - Aug  material cost transferred from sps,264.45,
AUGCOGS-SR273-44P2,101.5,,981,A51001 - Freight - Out - Expense (New),08/21/2025,HARMONY HOSPITALITY CO LTD,2517,SR273-44P2,HARMONY HOSPITALITY CO LTD - Aug  material cost transferred from sps,,264.45
AUGCOGS-25JSF01021,102,A51001 - Freight - Out - Expense (New),981,,08/30/2025,"Jasfer Industry Co., Limited",137,25JSF01021,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",150.6,
AUGCOGS-25JSF01021,102.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,"Jasfer Industry Co., Limited",137,25JSF01021,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,150.6
AUGCOGS-4162025,103,A51001 - Freight - Out - Expense (New),981,,08/30/2025,U.S. Vinyl Manufacturing,1292,4162025,U.S. Vinyl Manufacturing - Aug  material cost transferred from sps,288.06,
AUGCOGS-4162025,103.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,U.S. Vinyl Manufacturing,1292,4162025,U.S. Vinyl Manufacturing - Aug  material cost transferred from sps,,288.06
AUGCOGS-25RT020701,104,A51001 - Freight - Out - Expense (New),981,,08/30/2025,"Jasfer Industry Co., Limited",137,25RT020701,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",300.72,
AUGCOGS-25RT020701,104.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,"Jasfer Industry Co., Limited",137,25RT020701,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,300.72
AUGCOGS-24JSF12036,105,A51001 - Freight - Out - Expense (New),981,,08/30/2025,"Jasfer Industry Co., Limited",137,24JSF12036,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",641.98,
AUGCOGS-24JSF12036,105.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,"Jasfer Industry Co., Limited",137,24JSF12036,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,641.98
AUGCOGS-SR273-52,106,A51001 - Freight - Out - Expense (New),981,,08/30/2025,RICHWOOD HOSPITALITY CO LTD,1285,SR273-52,RICHWOOD HOSPITALITY CO LTD - Aug  material cost transferred from sps,1578.69,
AUGCOGS-SR273-52,106.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,RICHWOOD HOSPITALITY CO LTD,1285,SR273-52,RICHWOOD HOSPITALITY CO LTD - Aug  material cost transferred from sps,,1578.69
AUGCOGS-25RT032501,107,A51001 - Freight - Out - Expense (New),981,,08/30/2025,"Jasfer Industry Co., Limited",137,25RT032501,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",424.99,
AUGCOGS-25RT032501,107.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,"Jasfer Industry Co., Limited",137,25RT032501,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,424.99
AUGCOGS-4102025,108,A51001 - Freight - Out - Expense (New),981,,08/30/2025,Wendover Art Group,2488,4102025,Wendover Art Group - Aug  material cost transferred from sps,438.68,
AUGCOGS-4102025,108.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,Wendover Art Group,2488,4102025,Wendover Art Group - Aug  material cost transferred from sps,,438.68
AUGCOGS-540748,33,A51001 - Freight - Out - Expense (New),981,,08/30/2025,Encore Hospitality ,3523,540748,Encore Hospitality - Aug  material cost transferred from sps,149.33,
AUGCOGS-540748,33.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,Encore Hospitality,3523,540748,Encore Hospitality - Aug  material cost transferred from sps,,149.33
AUGCOGS-24US/34 -PI,38,A51001 - Freight - Out - Expense (New),981,,08/30/2025,Elastron,1246,24US/34 -PI,Elastron - Aug  material cost transferred from sps,240,
AUGCOGS-24US/34 -PI,38.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,Elastron,1246,24US/34 -PI,Elastron - Aug  material cost transferred from sps,,240
AUGCOGS-24US/35 - PI,39,A51001 - Freight - Out - Expense (New),981,,08/30/2025,Elastron,1246,24US/35 - PI,Elastron - Aug  material cost transferred from sps,39,
AUGCOGS-24US/35 - PI,39.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,Elastron,1246,24US/35 - PI,Elastron - Aug  material cost transferred from sps,,39
AUGCOGS-24US/33 - PI,40,A51001 - Freight - Out - Expense (New),981,,08/30/2025,Elastron,1246,24US/33 - PI,Elastron - Aug  material cost transferred from sps,160,
AUGCOGS-24US/33 - PI,40.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,Elastron,1246,24US/33 - PI,Elastron - Aug  material cost transferred from sps,,160
AUGCOGS-42317-pi,109,A51001 - Freight - Out - Expense (New),981,,08/31/2025,Phillip Jeffries,3525,42317-pi,Phillip Jeffries - Aug  material cost transferred from sps,65.1,
AUGCOGS-42317-pi,109.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/31/2025,Phillip Jeffries,3525,42317-pi,Phillip Jeffries - Aug  material cost transferred from sps,,65.1
