External ID,S.no,Debit,Account ID,Credit ,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt
AUGCOGS-23BL121403,36,A51001 - Freight - Out - Expense (New),981,,08/30/2025,"Jasfer Industry Co., Limited",137,23BL121403,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",2781.67,
AUGCOGS-23BL121403,36.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,"Jasfer Industry Co., Limited",137,23BL121403,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,2781.67
AUGCOGS-24JSF01003,37,A51001 - Freight - Out - Expense (New),981,,08/30/2025,"Jasfer Industry Co., Limited",137,24JSF01003,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",180.5,
AUGCOGS-24JSF01003,37.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,"Jasfer Industry Co., Limited",137,24JSF01003,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,180.5
AUGCOGS-24015762,41,A51001 - Freight - Out - Expense (New),981,,08/30/2025,TransCeramica-4042,1290,24015762,TransCeramica-4042 - Aug  material cost transferred from sps,1900,
AUGCOGS-24015762,41.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,TransCeramica-4042,1290,24015762,TransCeramica-4042 - Aug  material cost transferred from sps,,1900
AUGCOGS-240923USA-725,42,A51001 - Freight - Out - Expense (New),981,,08/30/2025,"Beijing Topli Decorative Materials Co., LTD",1233,240923USA-725,"Beijing Topli Decorative Materials Co., LTD - Aug  material cost transferred from sps",551,
AUGCOGS-240923USA-725,42.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,"Beijing Topli Decorative Materials Co., LTD",1233,240923USA-725,"Beijing Topli Decorative Materials Co., LTD - Aug  material cost transferred from sps",,551
AUGCOGS-24RT101908,43,A51001 - Freight - Out - Expense (New),981,,08/30/2025,"Jasfer Industry Co., Limited",137,24RT101908,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",360,
AUGCOGS-24RT101908,43.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,"Jasfer Industry Co., Limited",137,24RT101908,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,360
AUGCOGS-GV2024070,44,A51001 - Freight - Out - Expense (New),981,,08/30/2025,"XIAMEN DEYUAN PANMIN TRADING CO., LTD.",1295,GV2024070,"XIAMEN DEYUAN PANMIN TRADING CO., LTD. - Aug  material cost transferred from sps",75,
