Invoice #,Customer,Invoice date,Amount
ICB/003352/2025,INTERGLOBO(FREIGHT),02-26-2025,268.61
ICB/003355/2025,INTERGLOBO(FREIGHT),02-26-2025,100
ICB/003414/2025,INTERGLOBO(FREIGHT),02-27-2025,100
ICB/003417/2025,INTERGLOBO(FREIGHT),02-27-2025,100
RLN000217/2025,INTERGLOBO(FREIGHT),03-05-2025,8425
GE/016650/2025,INTERGLOBO(FREIGHT),03-06-2025,2912
IGM0005992025,INTERGLOBO(FREIGHT),03-07-2025,4785
IGM0006002025,INTERGLOBO(FREIGHT),03-07-2025,3825
RLN0003622025,INTERGLOBO(FREIGHT),03-10-2025,1202.84
RLN0003642025,INTERGLOBO(FREIGHT),03-10-2025,352.72
ICB/003962/2025,INTERGLOBO(FREIGHT),03-11-2025,100
RLN00418/2025,INTERGLOBO(FREIGHT),03-25-2025,6525.71
RLN000422/2025,INTERGLOBO(FREIGHT),03-26-2025,4775
RLN000423/2025,INTERGLOBO(FREIGHT),03-26-2025,5195
RLN00422/2025,INTERGLOBO(FREIGHT),03-26-2025,4775
RLN00423/2025,INTERGLOBO(FREIGHT),03-26-2025,5195.8
ICB/006985/2025,INTERGLOBO(FREIGHT),05-01-2025,2535
ICB/009186/2025,INTERGLOBO(FREIGHT),06-05-2025,125
ICB/009188/2025,INTERGLOBO(FREIGHT),06-05-2025,3743.92
ICB/009254/2025,INTERGLOBO(FREIGHT),06-05-2025,3760
ICB/009255/2025,INTERGLOBO(FREIGHT),06-05-2025,3760
ICB/009256/2025,INTERGLOBO(FREIGHT),06-05-2025,125
ICB/009257/2025,INTERGLOBO(FREIGHT),06-05-2025,125
ICB/009258/2025,INTERGLOBO(FREIGHT),06-05-2025,293.61
ICB/009259/2025,INTERGLOBO(FREIGHT),06-05-2025,125
ICB/009260/2025,INTERGLOBO(FREIGHT),06-10-2025,5866.92
ICB/009947/2025,INTERGLOBO(FREIGHT),06-17-2025,125
ICB/010420/2025,INTERGLOBO(FREIGHT),06-24-2025,125
22JS010701,"Jasfer Industry Co., Limited",05-26-2022,1032.65
23JSF10001,"Jasfer Industry Co., Limited",11-01-2023,3464
23JSF08019,"Jasfer Industry Co., Limited",12-11-2023,400
23JSF10033,"Jasfer Industry Co., Limited",12-29-2023,2648.22
24JSF03048,"Jasfer Industry Co., Limited",01-01-2024,3840.09
34188 - PI,"Jasfer Industry Co., Limited",01-01-2024,224.28
35261 - PI,"Jasfer Industry Co., Limited",01-01-2024,3709.62
35455 - PI,"Jasfer Industry Co., Limited",01-01-2024,1350
35950 - PI,"Jasfer Industry Co., Limited",01-01-2024,300
23JSF08031,"Jasfer Industry Co., Limited",01-05-2024,2000
23JSF11029,"Jasfer Industry Co., Limited",01-08-2024,2359.04
36045,"Jasfer Industry Co., Limited",01-11-2024,8044.97
23BDL05029,"Jasfer Industry Co., Limited",01-11-2024,809.99
24JS011901 - PI,"Jasfer Industry Co., Limited",02-01-2024,416.12
23JSF04044,"Jasfer Industry Co., Limited",02-01-2024,340
23BL092801,"Jasfer Industry Co., Limited",02-03-2024,1048.65
PrePayment  - ,"Jasfer Industry Co., Limited",03-07-2024,-8873.01
20240307  -PI,"Jasfer Industry Co., Limited",03-07-2024,7367.4
24JSF03035 - PI,"Jasfer Industry Co., Limited",03-22-2024,1516.94
23JS120407,"Jasfer Industry Co., Limited",04-08-2024,200
23JSF11005,"Jasfer Industry Co., Limited",04-10-2024,38.95
24JSF01009,"Jasfer Industry Co., Limited",04-10-2024,565.5
23RT120101,"Jasfer Industry Co., Limited",04-17-2024,16184.27
24JSF03029,"Jasfer Industry Co., Limited",04-19-2024,6330.48
W-0429,"Jasfer Industry Co., Limited",04-29-2024,-1089.48
24JSF04107 (R002),"Jasfer Industry Co., Limited",05-06-2024,1217.6
24JSF04108-A (R002) - PI,"Jasfer Industry Co., Limited",05-06-2024,22837.5
24JSF04108-B (R002) - PI,"Jasfer Industry Co., Limited",05-06-2024,5887
24JSF04108-C (R002),"Jasfer Industry Co., Limited",05-06-2024,1218
24JSF04106-A (R002),"Jasfer Industry Co., Limited",05-08-2024,13398
23JS100503,"Jasfer Industry Co., Limited",05-13-2024,222.31
23JSF10017,"Jasfer Industry Co., Limited",05-30-2024,233
39227-PI,"Jasfer Industry Co., Limited",06-07-2024,2252.38
24JSF05019,"Jasfer Industry Co., Limited",06-07-2024,2436.44
W-0618 $105602.53,"Jasfer Industry Co., Limited",06-18-2024,-13149.33
35902 - PI,"Jasfer Industry Co., Limited",06-19-2024,973.74
24JS010303 23GBCI392,"Jasfer Industry Co., Limited",06-26-2024,-3160
PrePayment  - PO34677/SPS,"Jasfer Industry Co., Limited",06-30-2024,-799.2
PrePayment  - PO33742/SPS,"Jasfer Industry Co., Limited",07-01-2024,10590.91
PrePayment  - PO38987/SPS,"Jasfer Industry Co., Limited",07-02-2024,-13009.33
24JSF06012,"Jasfer Industry Co., Limited",07-02-2024,21802.9
WHGV2406 -1,"Jasfer Industry Co., Limited",07-30-2024,748.17
20240801,"Jasfer Industry Co., Limited",08-01-2024,704
24JSF05009,"Jasfer Industry Co., Limited",08-01-2024,4000
24JSF05010,"Jasfer Industry Co., Limited",08-01-2024,1566.67
24JSF05040,"Jasfer Industry Co., Limited",08-01-2024,4683.83
24JSF07027,"Jasfer Industry Co., Limited",08-01-2024,27370.09
23RT122103,"Jasfer Industry Co., Limited",08-04-2024,76480.72
24JSF05005,"Jasfer Industry Co., Limited",08-08-2024,590
24JSF07007,"Jasfer Industry Co., Limited",08-08-2024,3776.83
24JSF07026,"Jasfer Industry Co., Limited",08-08-2024,2605.83
AG-GRVG-RZ231015,"Jasfer Industry Co., Limited",08-08-2024,1975
24JSF06042,"Jasfer Industry Co., Limited",08-23-2024,5349.68
24JSF07071,"Jasfer Industry Co., Limited",09-01-2024,2341.47
23RT110301,"Jasfer Industry Co., Limited",09-03-2024,708
24RT041801,"Jasfer Industry Co., Limited",09-15-2024,2375.12
24JSF05041,"Jasfer Industry Co., Limited",09-19-2024,485
24JSF08034,"Jasfer Industry Co., Limited",09-19-2024,2091.25
24JSF09040,"Jasfer Industry Co., Limited",09-21-2024,80
24JSF09049,"Jasfer Industry Co., Limited",09-25-2024,153.41
24JSF08003,"Jasfer Industry Co., Limited",09-28-2024,6886.2
24JSF08026A,"Jasfer Industry Co., Limited",09-28-2024,10405
24JSF08041,"Jasfer Industry Co., Limited",09-28-2024,10000
24BL060401,"Jasfer Industry Co., Limited",10-01-2024,23880.22
24JS082101,"Jasfer Industry Co., Limited",10-01-2024,14299.59
24RT052801,"Jasfer Industry Co., Limited",10-01-2024,7229.39
24RT082701,"Jasfer Industry Co., Limited",10-01-2024,18951.66
24RT082801,"Jasfer Industry Co., Limited",10-01-2024,2197.97
24JSF02004,"Jasfer Industry Co., Limited",10-01-2024,12724.34
24JSF06001,"Jasfer Industry Co., Limited",10-01-2024,8069.66
24JSF08032,"Jasfer Industry Co., Limited",10-01-2024,750
24JSF05006,"Jasfer Industry Co., Limited",10-02-2024,305.83
7.77306E+11,"Jasfer Industry Co., Limited",10-02-2024,4332.32
W-1008,"Jasfer Industry Co., Limited",10-08-2024,-1069.62
24JSF06028,"Jasfer Industry Co., Limited",10-12-2024,708.66
24JSF07049,"Jasfer Industry Co., Limited",10-12-2024,2763.18
24JSF07075,"Jasfer Industry Co., Limited",10-12-2024,3599.13
24RT071603,"Jasfer Industry Co., Limited",10-14-2024,17021.64
24JSF-MT0601,"Jasfer Industry Co., Limited",10-18-2024,267.27
24JSF08065,"Jasfer Industry Co., Limited",10-18-2024,30648.67
24JSF07062,"Jasfer Industry Co., Limited",10-25-2024,135
24JSF07063,"Jasfer Industry Co., Limited",10-25-2024,225
24BL070202,"Jasfer Industry Co., Limited",10-30-2024,7073.32
24JSF08056,"Jasfer Industry Co., Limited",10-30-2024,215.01
24RT051102,"Jasfer Industry Co., Limited",10-31-2024,2214.07
24RT070601,"Jasfer Industry Co., Limited",11-01-2024,8021.62
W-1104,"Jasfer Industry Co., Limited",11-04-2024,-4361.42
24JSF10019,"Jasfer Industry Co., Limited",11-08-2024,2057.98
24JSF09018,"Jasfer Industry Co., Limited",11-15-2024,16123.92
24JS090201,"Jasfer Industry Co., Limited",11-18-2024,789.97
20241120,"Jasfer Industry Co., Limited",11-20-2024,2426.91
24JSF06102,"Jasfer Industry Co., Limited",11-20-2024,32314.59
5642,"Jasfer Industry Co., Limited",11-21-2024,-427.39
24JSF08069,"Jasfer Industry Co., Limited",11-22-2024,9068.65
24JSF11068,"Jasfer Industry Co., Limited",11-22-2024,686.94
24JSF08023,"Jasfer Industry Co., Limited",11-23-2024,7667.92
24RT101905,"Jasfer Industry Co., Limited",11-28-2024,50
24JSF07060,"Jasfer Industry Co., Limited",12-01-2024,368.34
24BL092301,"Jasfer Industry Co., Limited",12-02-2024,765.69
24JS090403,"Jasfer Industry Co., Limited",12-02-2024,3.99
W-1204,"Jasfer Industry Co., Limited",12-04-2024,-1466.25
24JS080904,"Jasfer Industry Co., Limited",12-05-2024,7500.9
24RT052204,"Jasfer Industry Co., Limited",12-16-2024,10420.91
24JS083002,"Jasfer Industry Co., Limited",12-21-2024,1571.59
24JSF09010,"Jasfer Industry Co., Limited",12-25-2024,4350.49
24JS110405,"Jasfer Industry Co., Limited",12-26-2024,83.78
24JSF07024,"Jasfer Industry Co., Limited",12-31-2024,80
24JSF08020,"Jasfer Industry Co., Limited",01-01-2025,2121.4
24JSF08029,"Jasfer Industry Co., Limited",01-01-2025,4775.33
24JSF09055,"Jasfer Industry Co., Limited",01-01-2025,1672.93
W-0103,"Jasfer Industry Co., Limited",01-03-2025,-1061.27
24JSF12050,"Jasfer Industry Co., Limited",01-06-2025,839.54
24JS110401,"Jasfer Industry Co., Limited",01-08-2025,9755.46
24JSF10027,"Jasfer Industry Co., Limited",01-08-2025,800.01
W-0109,"Jasfer Industry Co., Limited",01-09-2025,-228.07
24JSF08070,"Jasfer Industry Co., Limited",01-13-2025,23531.23
WHGV2409-1,"Jasfer Industry Co., Limited",01-14-2025,910.19
24JSF02010,"Jasfer Industry Co., Limited",01-16-2025,121
W-0117,"Jasfer Industry Co., Limited",01-17-2025,-8140.67
24BL123001,"Jasfer Industry Co., Limited",01-20-2025,590.9
25JSF01021,"Jasfer Industry Co., Limited",01-20-2025,330.6
24JSF08001,"Jasfer Industry Co., Limited",01-20-2025,1619.71
24JSF08051,"Jasfer Industry Co., Limited",01-20-2025,3208.66
24JSF12032,"Jasfer Industry Co., Limited",01-21-2025,5310.16
24JS111306,"Jasfer Industry Co., Limited",01-21-2025,0.58
24JSF04008,"Jasfer Industry Co., Limited",01-21-2025,2913.27
24JSF11008,"Jasfer Industry Co., Limited",01-21-2025,205.9
24JSF11009,"Jasfer Industry Co., Limited",01-21-2025,104.69
24JSF12046,"Jasfer Industry Co., Limited",01-23-2025,14370.73
24RT092505,"Jasfer Industry Co., Limited",01-23-2025,7
24JS112001,"Jasfer Industry Co., Limited",01-23-2025,150.99
24JSF10056,"Jasfer Industry Co., Limited",01-24-2025,137.1
24JSF11004,"Jasfer Industry Co., Limited",01-24-2025,2155.7
24JSF12008,"Jasfer Industry Co., Limited",01-24-2025,10
W-0124,"Jasfer Industry Co., Limited",01-24-2025,-26290.3
25JSF01004,"Jasfer Industry Co., Limited",02-13-2025,527.59
24JSF07044,"Jasfer Industry Co., Limited",02-24-2025,30977.29
24JSF10039,"Jasfer Industry Co., Limited",02-25-2025,3995.42
24BL110706,"Jasfer Industry Co., Limited",03-04-2025,1468.92
24JSF08073,"Jasfer Industry Co., Limited",03-13-2025,6798.95
24RT10051,"Jasfer Industry Co., Limited",03-13-2025,150.15
24BL111011,"Jasfer Industry Co., Limited",03-24-2025,6471.17
24BL111108,"Jasfer Industry Co., Limited",03-24-2025,314.82
24JS111903,"Jasfer Industry Co., Limited",03-24-2025,0.19
25JS02701,"Jasfer Industry Co., Limited",03-29-2025,77.05
25JSF02018,"Jasfer Industry Co., Limited",04-02-2025,386.28
W-0402,"Jasfer Industry Co., Limited",04-02-2025,-8206.78
W-0414,"Jasfer Industry Co., Limited",04-14-2025,-4884
25JSF03092,"Jasfer Industry Co., Limited",04-16-2025,400
W-0422,"Jasfer Industry Co., Limited",04-22-2025,-81156.24
25JSF03107,"Jasfer Industry Co., Limited",04-23-2025,2914.92
25BL031501,"Jasfer Industry Co., Limited",04-23-2025,135.17
24BL022901,"Jasfer Industry Co., Limited",04-26-2025,1910.45
W-0506,"Jasfer Industry Co., Limited",05-06-2025,-385253.2
W-0508,"Jasfer Industry Co., Limited",05-08-2025,-536297.22
24RT111401,"Jasfer Industry Co., Limited",05-11-2025,4391.59
24JS121102,"Jasfer Industry Co., Limited",05-11-2025,3365.87
24RT112802,"Jasfer Industry Co., Limited",05-11-2025,8054.28
INVOICE  NO.:25BL012401,"Jasfer Industry Co., Limited",05-11-2025,10.7
INVOICE  NO.:25RT030503,"Jasfer Industry Co., Limited",05-11-2025,243.7
PI NO.:24JS121601,"Jasfer Industry Co., Limited",05-11-2025,1322
24JS111408,"Jasfer Industry Co., Limited",05-12-2025,5627.99
25RT021301,"Jasfer Industry Co., Limited",05-17-2025,200.92
24BL123005,"Jasfer Industry Co., Limited",05-19-2025,302.88
25JSF01022,"Jasfer Industry Co., Limited",05-19-2025,11024.3
25JS040601,"Jasfer Industry Co., Limited",05-19-2025,2279.27
25BL040802,"Jasfer Industry Co., Limited",05-19-2025,2810.15
25JSF03038,"Jasfer Industry Co., Limited",05-19-2025,28739.68
25JSF03064,"Jasfer Industry Co., Limited",05-19-2025,1716.13
25JS02135,"Jasfer Industry Co., Limited",05-19-2025,1094.72
25BL041601,"Jasfer Industry Co., Limited",05-19-2025,955.75
25BL031204,"Jasfer Industry Co., Limited",05-19-2025,102.14
25JS011601,"Jasfer Industry Co., Limited",05-19-2025,324.5
25JSF03067,"Jasfer Industry Co., Limited",05-19-2025,2103.64
25BL040401,"Jasfer Industry Co., Limited",05-19-2025,2715.09
24JSF11060,"Jasfer Industry Co., Limited",05-19-2025,2016.44
25JSF03200,"Jasfer Industry Co., Limited",05-19-2025,922.62
25BL030705,"Jasfer Industry Co., Limited",05-19-2025,4619.84
24RT103106,"Jasfer Industry Co., Limited",05-19-2025,26701.32
24JS112601,"Jasfer Industry Co., Limited",05-19-2025,6828.39
24JS121106,"Jasfer Industry Co., Limited",05-19-2025,1118.6
24JSF11024,"Jasfer Industry Co., Limited",05-19-2025,6227.16
24JSF11028,"Jasfer Industry Co., Limited",05-19-2025,3950.91
25BL011605,"Jasfer Industry Co., Limited",05-19-2025,187.75
25BL020701,"Jasfer Industry Co., Limited",05-19-2025,4021.34
25BL021302,"Jasfer Industry Co., Limited",05-19-2025,6176.73
25BL030704,"Jasfer Industry Co., Limited",05-19-2025,793.09
25RT022002,"Jasfer Industry Co., Limited",05-19-2025,2202
25RT040202,"Jasfer Industry Co., Limited",05-19-2025,1590.55
25JSF03209,"Jasfer Industry Co., Limited",05-20-2025,2297.41
24JSF11039,"Jasfer Industry Co., Limited",05-21-2025,765.68
25JSF01051,"Jasfer Industry Co., Limited",05-22-2025,5482.2
W-0522,"Jasfer Industry Co., Limited",05-22-2025,-600000
25JSF050241,"Jasfer Industry Co., Limited",05-24-2025,469.2
24JSF11061,"Jasfer Industry Co., Limited",05-24-2025,620.58
24BL010601,"Jasfer Industry Co., Limited",05-29-2025,18646.9
24BL120402,"Jasfer Industry Co., Limited",05-29-2025,836.8
25JSF01055,"Jasfer Industry Co., Limited",05-29-2025,2966.73
25JSF04038,"Jasfer Industry Co., Limited",05-29-2025,41.25
25RT021202,"Jasfer Industry Co., Limited",05-29-2025,1134.46
25JSF02008,"Jasfer Industry Co., Limited",05-29-2025,6390.15
25RT010901,"Jasfer Industry Co., Limited",05-29-2025,16364.07
25JSF02017,"Jasfer Industry Co., Limited",05-29-2025,814.76
25JS020701,"Jasfer Industry Co., Limited",05-29-2025,2516.59
25JS011606,"Jasfer Industry Co., Limited",05-29-2025,12489.43
25JS012001,"Jasfer Industry Co., Limited",05-29-2025,67336.53
25JSF03053,"Jasfer Industry Co., Limited",05-29-2025,9624.49
25JSF01031,"Jasfer Industry Co., Limited",05-29-2025,56645.36
24JSF08043,"Jasfer Industry Co., Limited",05-29-2025,540.48
24JSF04042,"Jasfer Industry Co., Limited",05-29-2025,352.83
24JSF11059,"Jasfer Industry Co., Limited",05-29-2025,5751.69
25BL021201,"Jasfer Industry Co., Limited",05-29-2025,43.49
25BL021202,"Jasfer Industry Co., Limited",05-29-2025,2886.62
24AG552GRV-V,"Jasfer Industry Co., Limited",05-30-2025,9436
25JS032502,"Jasfer Industry Co., Limited",05-30-2025,68.67
25JSF02006,"Jasfer Industry Co., Limited",05-30-2025,342.51
24JSF12036,"Jasfer Industry Co., Limited",05-30-2025,6123.31
25JSF02016,"Jasfer Industry Co., Limited",05-30-2025,5654.82
25JSF01016,"Jasfer Industry Co., Limited",05-30-2025,213.51
25JS032703,"Jasfer Industry Co., Limited",05-30-2025,1012.7
24JSF12017,"Jasfer Industry Co., Limited",05-30-2025,61908.55
24JSF12037,"Jasfer Industry Co., Limited",05-30-2025,1085
24JS092501,"Jasfer Industry Co., Limited",05-30-2025,1125.75
24JS101601,"Jasfer Industry Co., Limited",05-30-2025,2522.86
24JS120607,"Jasfer Industry Co., Limited",05-30-2025,3493.5
24JSF10073,"Jasfer Industry Co., Limited",05-30-2025,7827.2
25JSF01010,"Jasfer Industry Co., Limited",06-01-2025,2245.46
25BL022701,"Jasfer Industry Co., Limited",06-06-2025,7564.47
24BL112004,"Jasfer Industry Co., Limited",06-08-2025,34035.94
25JSF02070,"Jasfer Industry Co., Limited",06-08-2025,63221.69
25BL030706,"Jasfer Industry Co., Limited",06-08-2025,13777.01
24JS112003,"Jasfer Industry Co., Limited",06-08-2025,12822.52
24JS121201,"Jasfer Industry Co., Limited",06-08-2025,1083.66
25RT032501,"Jasfer Industry Co., Limited",06-08-2025,2468.36
25GB0073,"Jasfer Industry Co., Limited",06-09-2025,0.01
24JS110705,"Jasfer Industry Co., Limited",06-10-2025,499.36
W-0610,"Jasfer Industry Co., Limited",06-10-2025,-19228.35
25JS010401,"Jasfer Industry Co., Limited",06-27-2025,10816.52
25JSF01041,"Jasfer Industry Co., Limited",06-28-2025,9278.55
25JS032705,"Jasfer Industry Co., Limited",06-28-2025,6052.22
25BL042101,"Jasfer Industry Co., Limited",06-28-2025,143.03
25JSF03217,"Jasfer Industry Co., Limited",06-28-2025,22156.83
25JSF04010,"Jasfer Industry Co., Limited",06-28-2025,717.83
25JSF04047,"Jasfer Industry Co., Limited",06-28-2025,4226.09
24RT090901,"Jasfer Industry Co., Limited",06-28-2025,1168.19
24JSF12014,"Jasfer Industry Co., Limited",06-28-2025,1340.7
25RT02201,"Jasfer Industry Co., Limited",06-28-2025,39.31
25RT030502,"Jasfer Industry Co., Limited",06-28-2025,288.5
25RT030706,"Jasfer Industry Co., Limited",06-28-2025,1183.35
25RT04010,"Jasfer Industry Co., Limited",06-28-2025,1859.93
25JSF01007,"Jasfer Industry Co., Limited",06-30-2025,440
25JSF05069,"Jasfer Industry Co., Limited",06-30-2025,3265.82
36587 - Invoice,"Jasfer Industry Co., Limited",06-30-2025,1446.55
40329 - Invoice,"Jasfer Industry Co., Limited",06-30-2025,6517.91
36505 - Invoice,"Jasfer Industry Co., Limited",06-30-2025,3276.67
24RT111401-1,"Jasfer Industry Co., Limited",06-30-2025,50645.94
37618 - Invoice,"Jasfer Industry Co., Limited",06-30-2025,13950
42446-invoice,"Jasfer Industry Co., Limited",06-30-2025,3131.91
7.79533E+11,"Jasfer Industry Co., Limited",06-30-2025,868.82
W-0415,Juniper Design Group,04-15-2025,-6489.69
SZPECM146501,Koby Singletary,02-24-2025,325.08
SZPECY797601,Koby Singletary,02-24-2025,325.08
SZPM04241100,Koby Singletary,02-24-2025,49.44
SZPM58410300,Koby Singletary,02-24-2025,92.88
SZPM73195300,Koby Singletary,02-24-2025,325.08
USW2520549D01,Koby Singletary,02-25-2025,282
K.Singletary Reimbursable,Koby Singletary,04-28-2025,1560.64
W-0625,KRONOS CERAMICHE,06-25-2025,-18135
K2808,Kuartz Surfaces & Kitchens,06-17-2024,1824.25
K2926,Kuartz Surfaces & Kitchens,08-28-2024,4080.27
22325,Lift Service Now,09-11-2024,4974
22326,Lift Service Now,09-11-2024,4816.11
3.77461E+37,Luis Hernandez,05-29-2025,3465
duplicate payment/credit,MAERSK LINE,03-14-2025,-1050
25760001,Marmite Sp. z o.o - Poland,11-19-2024,285.8
25760438,Marmite Sp. z o.o - Poland,05-12-2025,2349.15
Projects-2024,Marvelous Surfaces,12-23-2024,19029.32
20240217,MASOMEX GLOBAL,02-17-2024,713.9
MMG/2024-25/10,MASOMEX GLOBAL,01-01-2025,140.6
W-0220,MASOMEX GLOBAL,02-20-2025,-1951.83
24/09,MASOMEX GLOBAL,06-30-2025,66.35
41186415,MDC Wallcovering,04-10-2025,2019.56
41188101,MDC Wallcovering,06-22-2025,-1748.55
credit from overpayment,Mediterranean Shipping Company MSC,03-03-2025,-1247.44
W-0811,MELLOWLAND FURNISHING INC,08-11-2023,-90.03
W-0817,MELLOWLAND FURNISHING INC,08-17-2023,-513.7
W-0116,MELLOWLAND FURNISHING INC,01-16-2024,-102.74
32045 - Invoice,MELLOWLAND FURNISHING INC,06-30-2025,2752.5
32541 - Invoice,MELLOWLAND FURNISHING INC,06-30-2025,3283.03
20230515015,Midstream & Terminal,05-15-2023,33750
680047,"MileStone Florim USA, Inc.",01-15-2025,2064
90457176 - 60294,"MileStone Florim USA, Inc.",06-30-2025,23819.04
14594728,Milliken,12-19-2023,7569.67
PrePayment  - PO60188,Milliken,06-13-2025,-1026.14
25336/VE,Mirage Granito Ceramico S.p.A.,08-01-2024,2790.19
30934/VE,Mirage Granito Ceramico S.p.A.,10-01-2024,0.14
45453/VE,Mirage Granito Ceramico S.p.A.,11-12-2024,924.6
48449/VE,Mirage Granito Ceramico S.p.A.,12-04-2024,10276.7
266/VE,Mirage Granito Ceramico S.p.A.,01-08-2025,13717.17
1200/VE,Mirage Granito Ceramico S.p.A.,01-14-2025,19523.4
6262/VE,Mirage Granito Ceramico S.p.A.,02-18-2025,924.49
7130/VE,Mirage Granito Ceramico S.p.A.,02-21-2025,17010
7266/VE,Mirage Granito Ceramico S.p.A.,02-24-2025,7572.03
7302/VE,Mirage Granito Ceramico S.p.A.,02-24-2025,12700.8
8906/VE,Mirage Granito Ceramico S.p.A.,03-05-2025,106.92
9937/VE,Mirage Granito Ceramico S.p.A.,03-12-2025,2482.32
15341/VE,Mirage Granito Ceramico S.p.A.,04-10-2025,13337.65
15364/VE,Mirage Granito Ceramico S.p.A.,04-10-2025,12171.6
19542/VE,Mirage Granito Ceramico S.p.A.,05-08-2025,2116.8
21576/VE,Mirage Granito Ceramico S.p.A.,05-19-2025,6526.8
24874/VE,Mirage Granito Ceramico S.p.A.,06-05-2025,13230
24905/VE,Mirage Granito Ceramico S.p.A.,06-05-2025,13230
24802/VE,Mirage Granito Ceramico S.p.A.,06-05-2025,8467.2
S020359,Modular Shower Walls,01-01-2025,3729.94
S020448,Modular Shower Walls,01-01-2025,0.07
S020537,Modular Shower Walls,01-15-2025,0.19
S020365,Modular Shower Walls,02-01-2025,3933.93
S020971,Modular Shower Walls,03-28-2025,19580.88
S020972,Modular Shower Walls,03-28-2025,22480.3
S020973,Modular Shower Walls,03-28-2025,14412.83
S020974-RPL,Modular Shower Walls,03-28-2025,534.82
S020975,Modular Shower Walls,03-28-2025,1324.81
S021038,Modular Shower Walls,04-07-2025,627.03
S021063,Modular Shower Walls,04-10-2025,9332.4
S021064,Modular Shower Walls,04-10-2025,1054.05
S021076,Modular Shower Walls,04-15-2025,6585.59
S021121,Modular Shower Walls,04-25-2025,1572.59
S021134,Modular Shower Walls,04-29-2025,28904.4
S021137,Modular Shower Walls,04-29-2025,4390.92
S021152,Modular Shower Walls,04-30-2025,3914
S021153,Modular Shower Walls,04-30-2025,1777.6
S021191,Modular Shower Walls,05-07-2025,322.01
S021249,Modular Shower Walls,05-16-2025,566.02
S021254,Modular Shower Walls,05-16-2025,2542.55
S021275,Modular Shower Walls,05-21-2025,28
S021295,Modular Shower Walls,05-23-2025,161.44
S021470,Modular Shower Walls,06-27-2025,22737.33
S021471,Modular Shower Walls,06-27-2025,15360.6
1374e7d1-71a0-443a-bf70-5277a700ce9a,Modular Shower Walls,06-30-2025,6066.7
b0d91988-30ee-432a-8a79-2bb9d511fec8,Modular Shower Walls,06-30-2025,19511.21
6282024,Modular Vanity tops & Bases,06-28-2024,353.66
824013041 - PF,Momentum Group,11-06-2024,-44.04
W-0403,Momentum Group,04-03-2025,-16583.29
PrePayment  - PO1258/NetSuite,Momentum Group,04-09-2025,-1146.53
W-0513,Momentum Group,05-13-2025,-532.7
W-0604,Momentum Group,06-04-2025,-578.51
W-0609,Momentum Group,06-09-2025,-533.44
PrePayment  - PO45773/NetSuite,Monster displays,04-22-2025,-2668.07
PrePayment  - PO60080/NetSuite,Monster displays,05-11-2025,-1104.19
1118352890-IN,"MS International, Inc.",06-20-2025,689
W11262024,Muraspec Decorative Solutions Limited/Barclays,11-26-2024,-8993.46
110514,"MW Logistics, LLC",03-17-2025,250
PrePayment  - PO60620/NetSuite,National Wallcovering,04-19-2024,-3986.78
E/301,Natucer Ceramica,05-08-2024,0.1
37810B,Natucer Ceramica,11-07-2024,-0.1
E/201,Natucer Ceramica,03-24-2025,2397.6
USN323264,OCEAN NETWORK EXPRESS,12-06-2024,330
12/18/2024,Orient Overseas Container line LTD / OOCL (USA) INC.,12-18-2024,-210
W-0606,PADRON FLOORING & DESIGN CENTER,06-06-2025,-3410
4,Pantarei,01-23-2024,2023.67
6,Pantarei,02-07-2024,4339.51
"W-0207 $234,289.27",Pantarei,02-07-2024,-52670.48
"W-0215 $140,370.71",Pantarei,02-15-2024,-6000
10,Pantarei,02-16-2024,552.85
19,Pantarei,04-04-2024,996.61
30,Pantarei,05-28-2024,1154.98
26,Pantarei,05-30-2024,859.1
27,Pantarei,05-31-2024,1139.03
28,Pantarei,06-04-2024,859.1
W-06142024,Pantarei,06-14-2024,-12654.21
63,Pantarei,06-20-2024,3732.34
W-0710,Pantarei,07-10-2024,-79567.09
W-0719,Pantarei,07-19-2024,-125121.71
PrePayment  - PO36504/SPS,Pantarei,08-01-2024,-33.19
W-0920,Pantarei,09-20-2024,-10537.96
48,Pantarei,09-25-2024,3561.6
68,Pantarei,11-05-2024,7500
73,Pantarei,11-22-2024,2811
81,Pantarei,12-19-2024,1558.38
7,Pantarei,03-13-2025,3304.43
9,Pantarei,03-14-2025,800
39946 - Invoice,Pantarei,06-30-2025,554.29
35216 - Invoice,Pantarei,06-30-2025,373.7
W-06072024,Papatya,06-07-2024,-25.9
W-06122024,Papatya,06-12-2024,-55.7
25040097,Paycargo,06-02-2025,51.5
W-0212,PIERMARIA NEW FORM SRL,02-12-2025,-3110.12
23,PIERMARIA NEW FORM SRL,05-23-2025,-3650.96
PrePayment  - PO60012/NetSuite,Quartz America,05-15-2025,-3949.02
664,Quartz America,06-26-2025,-37735.63
210,Ramon Garcia Mexico,05-11-2023,21041
A2023 237,Ramon Garcia Mexico,06-07-2023,45164
A2023 2,Ramon Garcia Mexico,01-01-2024,844.75
20240106,Ramon Garcia Mexico,01-05-2024,658.35
W-0316,"RAYTOP INDUSTRY CO.,LTD",03-16-2022,-1548.63
W-0408,"RAYTOP INDUSTRY CO.,LTD",04-08-2022,-5992.38
W-0824,"RAYTOP INDUSTRY CO.,LTD",08-24-2022,-10500
W-0229,"RAYTOP INDUSTRY CO.,LTD",02-29-2024,-4113.66
