Invoice #,Customer,Invoice date,Amount
112294,Easy Stones,05-21-2025,1776.7
112662,Easy Stones,05-27-2025,2100.57
112673,Easy Stones,06-03-2025,5251.42
W-0530,F.B. STONES S.R.L.,05-30-2025,-19276.89
1416,Fabricut Contract /S.Harris,06-05-2025,-640.36
22533248-E,Fama,05-13-2025,35965.88
22533263-E,Fama,05-14-2025,32758.78
22533488-E,Fama,05-23-2025,33688.3
22533489-E,Fama,05-26-2025,16217.56
22533845-E,Fama,06-05-2025,32463.58
22534127-E,Fama,06-18-2025,54631.84
1 / 1552,Fenabel,05-22-2024,598.74
INV24801,Fil Doux Textiles,06-20-2025,37.49
20240524,FPD SHPK,05-24-2024,2192.4
26919 - Invoice,FPD SHPK,06-30-2025,27074.77
2022-FE-0000488,GIBAM SHOPS SPA,10-13-2022,15010.14
2022-FE-0000590,GIBAM SHOPS SPA,12-23-2022,353.77
"215, 216, 217, 218",GIBAM SHOPS SPA,05-06-2023,3763.2
"276, 277, 540, 541, 542, 543",GIBAM SHOPS SPA,07-05-2023,34856.59
2023-FE-0000289,GIBAM SHOPS SPA,07-26-2023,77.36
2023-FE-0000325,GIBAM SHOPS SPA,08-04-2023,76.52
"335, 342, 374, 550",GIBAM SHOPS SPA,09-29-2023,4370.13
"336, 341, 375, 378, 551",GIBAM SHOPS SPA,09-29-2023,17721.02
"337, 343, 376, 552",GIBAM SHOPS SPA,09-29-2023,2121.17
2023-FE-0000353,GIBAM SHOPS SPA,10-05-2023,113.05
"357, 358, 359",GIBAM SHOPS SPA,10-17-2023,28363.48
2023-FE-0000360,GIBAM SHOPS SPA,10-19-2023,2026.26
2023-FE-0000361,GIBAM SHOPS SPA,10-19-2023,8549.34
2023-FE-0000362,GIBAM SHOPS SPA,10-19-2023,474.15
2023-FE-0000363,GIBAM SHOPS SPA,10-19-2023,499.63
2023-FE-0000371,GIBAM SHOPS SPA,10-24-2023,1315.54
2023-FE-0000373,GIBAM SHOPS SPA,10-26-2023,617.38
"397, 398, 401, 403, 405",GIBAM SHOPS SPA,11-02-2023,29036.48
2023-FE-0000394,GIBAM SHOPS SPA,11-02-2023,98.7
2023-FE-0000395,GIBAM SHOPS SPA,11-02-2023,128.39
