External ID,S.no,Debit,Account ID,Debit Internal ID,Credit,Credit Internal ID,Date,Customer,Entity ID,Invoice#,Memo,Description,Debit AMT,Credit AMT
EXTERNAL - 23BL121201,162.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,23BL121201,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,131.33
EXTERNAL - 25JS011601,163,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,25JS011601,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,59.90,
EXTERNAL - 25JS011601,163.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,25JS011601,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,59.90
EXTERNAL - 25JS02135,164,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,25JS02135,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,248.72,
EXTERNAL - 25JS02135,164.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,25JS02135,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,248.72
EXTERNAL - GV2025013,165,A12001 - Inventory (New),953,953,,,7/22/2025,"Cambodian Zulite Stone Co., Ltd.",1237,GV2025013,"Cambodian Zulite Stone Co., Ltd. - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,1936.50,
EXTERNAL - GV2025013,165.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Cambodian Zulite Stone Co., Ltd.",1237,GV2025013,"Cambodian Zulite Stone Co., Ltd. - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,1936.50
EXTERNAL - 25RT022002,166,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,25RT022002,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,267.00,
EXTERNAL - 25RT022002,166.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,25RT022002,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,267.00
EXTERNAL - 24JSF11028 - AP,167,A51001 - Freight - Out - Expense (New),981,981,,,7/22/2025,"Jasfer Industry Co., Limited",137,24JSF11028 - AP,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,35.00,
EXTERNAL - 24JSF11028 - AP,167.5,,966,,A20001 - Accounts Payable Suppliers & Vendors (New),966,7/22/2025,"Jasfer Industry Co., Limited",137,24JSF11028 - AP,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,35.00
EXTERNAL - 24JSF11028 - Inventorty,168,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,24JSF11028 - Inventorty,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,576.91,
EXTERNAL - 24JSF11028 - Inventorty,168.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,24JSF11028 - Inventorty,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,576.91
EXTERNAL - 25BL030705,169,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,25BL030705,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,739.04,
EXTERNAL - 25BL030705,169.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,25BL030705,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,739.04
EXTERNAL - 25BL021302,170,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,25BL021302,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,1126.00,
EXTERNAL - 25BL021302,170.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,25BL021302,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,1126.00
EXTERNAL - 25JSF03038,171,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,25JSF03038,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,1795.28,
EXTERNAL - 25JSF03038,171.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,25JSF03038,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,1795.28
EXTERNAL - 25BL031204,172,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,25BL031204,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,26.52,
EXTERNAL - 25BL031204,172.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,25BL031204,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,26.52
EXTERNAL - 25JSF03067,173,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,25JSF03067,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,308.64,
EXTERNAL - 25JSF03067,173.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,25JSF03067,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,308.64
EXTERNAL - 25JSF03064,174,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,25JSF03064,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,476.13,
EXTERNAL - 25JSF03064,174.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,25JSF03064,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,476.13
EXTERNAL - 25BL030704,175,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,25BL030704,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,73.09,
EXTERNAL - 25BL030704,175.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,25BL030704,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,73.09
EXTERNAL - 25RT040202,176,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,25RT040202,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,425.55,
