External id,S.no,Accounts ID,Date,Customer,Invoice#,Description,Debit Amt,Credit Amt
EXETER - 31647,1,977,07-01-2025,CANDLEWOOD LAFAYETTE,31647,Import July 25 cogs for materials from SPS to Netsuite,78.61,
EXETER - 31647,1.5,953,07-01-2025,CANDLEWOOD LAFAYETTE,31647,Import July 25 cogs for materials from SPS to Netsuite,,78.61
