Error,External ID,Not uploaded,Item ID,Item,Invoice ID/Reference,Vendor ID,Netsuite Name,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Bin,Bin ID,Serial/lot
Inventory items must have a positive amount.,NSOPENBALBILL330,#N/A,40391,cogs,W-0617,2517,,HARMONY HOSPITALITY CO LTD,06/17/2025,-28020.20,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20032,CW-001,17,1743
Inventory items must have a positive amount.,NSOPENBALBILL333,#N/A,40391,cogs,W-0623,2517,,HARMONY HOSPITALITY CO LTD,06/23/2025,-69985.30,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20035,CW-002,17,1744
Inventory items must have a positive amount.,NSOPENBALBILL338,#N/A,40391,cogs,W-0612,2157,,Hilltop Stones Inc.,06/12/2025,-10557.02,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20040,CW-005,17,1747
Inventory items must have a positive amount.,NSOPENBALBILL339,#N/A,40391,cogs,11569,2464,,HJ sink,06/16/2025,-9900.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20041,CW-006,17,1748
Reference No. 25069285668 is a duplicate for this vendor. Click OK and change Reference No.,NSOPENBALBILL351,#N/A,40391,cogs,25069285668,130,,Hotel Engine,06/02/2025,151.77,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20053,CW-007,17,1749
Reference No. 25069285680 is a duplicate for this vendor. Click OK and change Reference No.,NSOPENBALBILL352,#N/A,40391,cogs,25069285680,130,,Hotel Engine,06/02/2025,225.49,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20054,CW-008,17,1750
Inventory items must have a positive amount.,NSOPENBALBILL353,#N/A,40391,cogs,W-0521,2468,,Indus Trade & Technology,05/21/2025,-1248.37,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20055,CW-009,17,1751
Inventory items must have a positive amount.,NSOPENBALBILL434,#N/A,40391,cogs,PrePayment  -,137,,"Jasfer Industry Co., Limited",03/07/2024,-8873.01,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20136,CW-011,17,1753
Inventory items must have a positive amount.,NSOPENBALBILL442,#N/A,40391,cogs,W-0429,137,,"Jasfer Industry Co., Limited",04/29/2024,-1089.48,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20144,CW-012,17,1754
Inventory items must have a positive amount.,NSOPENBALBILL452,#N/A,40391,cogs,W-0618 $105602.53,137,,"Jasfer Industry Co., Limited",06/18/2024,-13149.33,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20154,CW-015,17,1757
Inventory items must have a positive amount.,NSOPENBALBILL454,#N/A,40391,cogs,24JS010303 23GBCI392,137,,"Jasfer Industry Co., Limited",06/26/2024,-3160.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20156,CW-016,17,1758
