Error,External ID,Not uploaded,Item ID,Item,Invoice ID/Reference,Length,Vendor ID,Netsuite Name,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Bin,serial/lot
Inventory items must have a positive amount.,NSOPENBALBILL314,#N/A,40391,cogs,2025-BILL-019,11,122,,GV Facades LLC,01/09/2025,-245.41,3,Graniti Vicentia LLC,GV TRANSFER (Import SPS data by Invoice in Netsuite),A20016,17,1820
Inventory items must have a positive amount.,NSOPENBALBILL759,#N/A,40391,cogs,824013041 - PF,14,1971,,Momentum Group,11/06/2024,-44.04,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20461,17,1830
Inventory items must have a positive amount.,NSOPENBALBILL760,#N/A,40391,cogs,W-0403,6,1971,,Momentum Group,04/03/2025,-16583.29,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20462,17,1831
Inventory items must have a positive amount.,NSOPENBALBILL761,#N/A,40391,cogs,PrePayment  - PO1258/NetSuite,29,1971,,Momentum Group,04/09/2025,-1146.53,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20463,17,1832
Inventory items must have a positive amount.,NSOPENBALBILL762,#N/A,40391,cogs,W-0513,6,1971,,Momentum Group,05/13/2025,-532.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20464,17,1833
Inventory items must have a positive amount.,NSOPENBALBILL763,#N/A,40391,cogs,W-0604,6,1971,,Momentum Group,06/04/2025,-578.51,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20465,17,1834
Inventory items must have a positive amount.,NSOPENBALBILL764,#N/A,40391,cogs,W-0609,6,1971,,Momentum Group,06/09/2025,-533.44,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20466,17,1835
Inventory items must have a positive amount.,NSOPENBALBILL765,#N/A,40391,cogs,PrePayment  - PO45773/NetSuite,30,2411,,Monster displays,04/22/2025,-2668.07,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20467,17,1836
Inventory items must have a positive amount.,NSOPENBALBILL766,#N/A,40391,cogs,PrePayment  - PO60080/NetSuite,30,2411,,Monster displays,05/11/2025,-1104.19,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20468,17,1837
Inventory items must have a positive amount.,NSOPENBALBILL768,#N/A,40391,cogs,W11262024,9,1274,,Muraspec Decorative Solutions Limited/Barclays,11/26/2024,-8993.46,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20470,17,1838
Inventory items must have a positive amount.,NSOPENBALBILL770,#N/A,40391,cogs,PrePayment  - PO60620/NetSuite,30,1275,,National Wallcovering,04/19/2024,-3986.78,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20472,17,1839
Inventory items must have a positive amount.,NSOPENBALBILL772,#N/A,40391,cogs,37810B,6,1276,,Natucer Ceramica,11/07/2024,-0.10,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20474,17,1840
Inventory items must have a positive amount.,NSOPENBALBILL776,#N/A,40391,cogs,W-0606,6,2558,,PADRON FLOORING & DESIGN CENTER,06/06/2025,-3410.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20478,17,1841
Inventory items must have a positive amount.,NSOPENBALBILL779,#N/A,40391,cogs,"W-0207 $234,289.27",18,1280,,Pantarei,02/07/2024,-52670.48,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20481,17,1842
Inventory items must have a positive amount.,NSOPENBALBILL780,#N/A,40391,cogs,"W-0215 $140,370.71",18,1280,,Pantarei,02/15/2024,-6000.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20482,17,1843
Inventory items must have a positive amount.,NSOPENBALBILL787,#N/A,40391,cogs,W-06142024,10,1280,,Pantarei,06/14/2024,-12654.21,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20489,17,1844
Inventory items must have a positive amount.,NSOPENBALBILL789,#N/A,40391,cogs,W-0710,6,1280,,Pantarei,07/10/2024,-79567.09,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20491,17,1845
Inventory items must have a positive amount.,NSOPENBALBILL790,#N/A,40391,cogs,W-0719,6,1280,,Pantarei,07/19/2024,-125121.71,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20492,17,1846
Inventory items must have a positive amount.,NSOPENBALBILL791,#N/A,40391,cogs,PrePayment  - PO36504/SPS,25,1280,,Pantarei,08/01/2024,-33.19,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20493,17,1847
Inventory items must have a positive amount.,NSOPENBALBILL792,#N/A,40391,cogs,W-0920,6,1280,,Pantarei,09/20/2024,-10537.96,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20494,17,1848
Inventory items must have a positive amount.,NSOPENBALBILL801,#N/A,40391,cogs,W-06072024,10,1333,,Papatya,06/07/2024,-25.90,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20503,17,1849
Inventory items must have a positive amount.,NSOPENBALBILL802,#N/A,40391,cogs,W-06122024,10,1333,,Papatya,06/12/2024,-55.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20504,17,1850
Inventory items must have a positive amount.,NSOPENBALBILL804,#N/A,40391,cogs,W-0212,6,1281,,PIERMARIA NEW FORM SRL,02/12/2025,-3110.12,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20506,17,1851
Inventory items must have a positive amount.,NSOPENBALBILL805,#N/A,40391,cogs,23,2,1281,,PIERMARIA NEW FORM SRL,05/23/2025,-3650.96,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20507,17,1852
Inventory items must have a positive amount.,NSOPENBALBILL806,#N/A,40391,cogs,PrePayment  - PO60012/NetSuite,30,1690,,Quartz America,05/15/2025,-3949.02,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20508,17,1853
Inventory items must have a positive amount.,NSOPENBALBILL807,#N/A,40391,cogs,664,3,1690,,Quartz America,06/26/2025,-37735.63,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20509,17,1854
Inventory items must have a positive amount.,NSOPENBALBILL812,#N/A,40391,cogs,W-0316,6,1284,,"RAYTOP INDUSTRY CO.,LTD",03/16/2022,-1548.63,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20514,17,1855
Inventory items must have a positive amount.,NSOPENBALBILL813,#N/A,40391,cogs,W-0408,6,1284,,"RAYTOP INDUSTRY CO.,LTD",04/08/2022,-5992.38,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20515,17,1856
Inventory items must have a positive amount.,NSOPENBALBILL814,#N/A,40391,cogs,W-0824,6,1284,,"RAYTOP INDUSTRY CO.,LTD",08/24/2022,-10500.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20516,17,1857
Inventory items must have a positive amount.,NSOPENBALBILL815,#N/A,40391,cogs,W-0229,6,1284,,"RAYTOP INDUSTRY CO.,LTD",02/29/2024,-4113.66,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20517,17,1858
Inventory items must have a positive amount.,NSOPENBALBILL817,#N/A,40391,cogs,"W-0710 $121,645.48",18,1285,,RICHWOOD HOSPITALITY CO LTD,07/10/2024,-6064.03,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20519,17,1859
