External ID,Item ,Item ID,Date,Transaction#,Invoice#,Location,Location ID,Subsidiary ID,Type,Description,Memo,Party,Vendor ID,Debit,Credit Amount,Balance,SPS,NetSuite,Serial lot no.,Bin id
BILL-47217,Item (Revenue/COGS),40391,08/30/2025,47217,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,"Jasfer Industry Co., Limited",137,,73414.36,"($56,22,836.66)",Yes,No,BILLJULY2025,17
BILL-47221,Item (Revenue/COGS),40391,08/30/2025,47221,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,"Jasfer Industry Co., Limited",137,,2903.22,"($56,25,739.88)",Yes,No,BILLJULY2025,17
BILL-47222,Item (Revenue/COGS),40391,08/30/2025,47222,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,Atlas Concorde,1232,,3087.84,"($56,28,827.72)",Yes,No,BILLJULY2025,17
BILL-47223,Item (Revenue/COGS),40391,08/30/2025,47223,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,Atlas Concorde,1232,,2756.98,"($56,31,584.70)",Yes,No,BILLJULY2025,17
BILL-47224,Item (Revenue/COGS),40391,08/30/2025,47224,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,Modular Shower Walls,1270,,1333.18,"($56,32,917.88)",Yes,No,BILLJULY2025,17
BILL-47260,Item (Revenue/COGS),40391,08/30/2025,47260,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,Modular Shower Walls,1270,,43431.89,"($56,76,349.77)",Yes,No,BILLJULY2025,17
BILL-47263,Item (Revenue/COGS),40391,08/30/2025,47263,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,"Stonepeak Ceramics, Inc.",228,,66.78,"($56,76,416.55)",Yes,No,BILLJULY2025,17
BILL-47277,Item (Revenue/COGS),40391,08/30/2025,47277,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,"Stonepeak Ceramics, Inc.",228,,22518.82,"($56,98,935.37)",Yes,No,BILLJULY2025,17
BILL-47278,Item (Revenue/COGS),40391,08/30/2025,47278,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,"Stonepeak Ceramics, Inc.",228,,8782.15,"($57,07,717.52)",Yes,No,BILLJULY2025,17
BILL-47279,Item (Revenue/COGS),40391,08/30/2025,47279,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,"Beijing Topli Decorative Materials Co., LTD",1233,,3588.32,"($57,11,305.84)",Yes,No,BILLJULY2025,17
BILL-47281,Item (Revenue/COGS),40391,08/30/2025,47281,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,Modular Shower Walls,1270,,24813,"($57,36,118.84)",Yes,No,BILLJULY2025,17
BILL-47282,Item (Revenue/COGS),40391,08/30/2025,47282,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,Atlas Concorde,1232,,2563.03,"($57,38,681.87)",Yes,No,BILLJULY2025,17
BILL-47294B,Item (Revenue/COGS),40391,08/30/2025,47294B,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,Kronos USA,2563,,18200,"($57,56,881.87)",Yes,No,BILLJULY2025,17
BILL-47298,Item (Revenue/COGS),40391,08/30/2025,47298,8302025,GV,2,3,SupplierInvoice,Imports from SPS ,8302025-SupplierInvoice,MirageGranitoCeramico S.p.A,173,,693.16,"($57,57,575.03)",Yes,No,BILLJULY2025,17
BILL-30140D,Item (Revenue/COGS),40391,08/31/2025,30140D,SR272-02P. CTN#15-1,GV,2,3,SupplierInvoice,Imports from SPS ,SR272-02P. CTN#15-1-SupplierInvoice,Unite Oak International Inc,258,,58,"($57,57,633.03)",Yes,No,BILLJULY2025,17
BILL-41112,Item (Revenue/COGS),40391,08/31/2025,41112,GV-24,GV,2,3,SupplierInvoice,Imports from SPS ,GV-24-SupplierInvoice,"Yesenye Furniture Co., Ltd",1296,,3983,"($57,61,616.03)",Yes,No,BILLJULY2025,17
BILL-41847,Item (Revenue/COGS),40391,08/31/2025,41847,8312025,GV,2,3,SupplierInvoice,Imports from SPS ,8312025-SupplierInvoice,"Jasfer Industry Co., Limited",137,,1271,"($57,62,887.03)",Yes,No,BILLJULY2025,17
BILL-42086B,Item (Revenue/COGS),40391,08/31/2025,42086B,24JSF10009-1,GV,2,3,SupplierInvoice,Imports from SPS ,24JSF10009-1-SupplierInvoice,"Jasfer Industry Co., Limited",137,,6000,"($57,68,887.03)",Yes,No,BILLJULY2025,17
BILL-45760,Item (Revenue/COGS),40391,08/31/2025,45760,25BL031401,GV,2,3,SupplierInvoice,Imports from SPS ,25BL031401-SupplierInvoice,"Jasfer Industry Co., Limited",137,,855.64,"($57,69,742.67)",Yes,No,BILLJULY2025,17
BILL-45893,Item (Revenue/COGS),40391,08/31/2025,45893,KV20231005P01,GV,2,3,SupplierInvoice,Imports from SPS ,KV20231005P01-SupplierInvoice,Aluguard,48,,941,"($57,70,683.67)",Yes,No,BILLJULY2025,17
BILL-46009,Item (Revenue/COGS),40391,08/31/2025,46009,83125,GV,2,3,SupplierInvoice,Imports from SPS ,83125-SupplierInvoice,ZBOM Cabinets Corp.,1297,,6882.5,"($57,77,566.17)",Yes,No,BILLJULY2025,17
BILL-46033,Item (Revenue/COGS),40391,08/31/2025,46033,8312025,GV,2,3,SupplierInvoice,Imports from SPS ,8312025-SupplierInvoice,ZBOM Cabinets Corp.,1297,,3630.28,"($57,81,196.45)",Yes,No,BILLJULY2025,17
