External ID,S.No,Debit,Account ID,Credit ,Date,Invoice,,Customer,Entity Internal ID,Description,Debit Amt,Credit Amt
JULYREV-36729,130.5,,975,A40006 - Delivery Income (New),07/31/2025,36729,,"ELEMENT FORTSMITH, ARKANSAS",3330,July 25 Freight revenue in SPS,,300.86
JULYREV-37682,131,A11001 - Accounts Receivable (New),950,,07/31/2025,37682,,Ascent Residence inn Montgomery,3320,July 25 Freight revenue in SPS,4893.44,
JULYREV-37682,131.5,,975,A40006 - Delivery Income (New),07/31/2025,37682,,Ascent Residence inn Montgomery,3320,July 25 Freight revenue in SPS,,4893.44
JULYREV-38362,132,A11001 - Accounts Receivable (New),950,,07/31/2025,38362,,Ascent Hospitality- Autograph Huntsville,3318,July 25 Freight revenue in SPS,34212.88,
JULYREV-38362,132.5,,975,A40006 - Delivery Income (New),07/31/2025,38362,,Ascent Hospitality- Autograph Huntsville,3318,July 25 Freight revenue in SPS,,34212.88
JULYREV-38384,133,A11001 - Accounts Receivable (New),950,,07/31/2025,38384,,Auburn Hospitality Group,1548,July 25 Freight revenue in SPS,3921.75,
JULYREV-38384,133.5,,975,A40006 - Delivery Income (New),07/31/2025,38384,,Auburn Hospitality Group,1548,July 25 Freight revenue in SPS,,3921.75
JULYREV-38400,134,A11001 - Accounts Receivable (New),950,,07/31/2025,38400,,Auburn Hospitality Group,1548,July 25 Freight revenue in SPS,10904.08,
JULYREV-38400,134.5,,975,A40006 - Delivery Income (New),07/31/2025,38400,,Auburn Hospitality Group,1548,July 25 Freight revenue in SPS,,10904.08
JULYREV-38623,135,A11001 - Accounts Receivable (New),950,,07/31/2025,38623,,Trylon LLC/ RJ Construction LTD,1688,July 25 Freight revenue in SPS,10400.00,
JULYREV-38623,135.5,,975,A40006 - Delivery Income (New),07/31/2025,38623,,Trylon LLC/ RJ Construction LTD,1688,July 25 Freight revenue in SPS,,10400.00
JULYREV-37579/3,136,A11001 - Accounts Receivable (New),950,,07/01/2025,37579/3,,Fairfield Townplace East Hartford,3335,July 25 Service revenue in SPS,33690.51,
JULYREV-37579/3,136.5,,976,A40007 - Service Income (New),07/01/2025,37579/3,,Fairfield Townplace East Hartford,3335,July 25 Service revenue in SPS,,33690.51
JULYREV-36570,137,A11001 - Accounts Receivable (New),950,,07/30/2025,36570,,Prince Preferred Hotels,649,July 25 Service revenue in SPS,16950.00,
JULYREV-36570,137.5,,976,A40007 - Service Income (New),07/30/2025,36570,,Prince Preferred Hotels,649,July 25 Service revenue in SPS,,16950.00
JULYREV-36581,138,A11001 - Accounts Receivable (New),950,,07/30/2025,36581,,Prince Preferred Hotels,649,July 25 Service revenue in SPS,2850.00,
JULYREV-36581,138.5,,976,A40007 - Service Income (New),07/30/2025,36581,,Prince Preferred Hotels,649,July 25 Service revenue in SPS,,2850.00
JULYREV-35760/7,139,A11001 - Accounts Receivable (New),950,,07/31/2025,35760/7,,"La Quinta Hawthorn - Miamisburg, OH",3358,July 25 Service revenue in SPS,5492.40,
JULYREV-35760/7,139.5,,976,A40007 - Service Income (New),07/31/2025,35760/7,,"La Quinta Hawthorn - Miamisburg, OH",3358,July 25 Service revenue in SPS,,5492.40
JULYREV-36729,140,A11001 - Accounts Receivable (New),950,,07/31/2025,36729,,"ELEMENT FORTSMITH, ARKANSAS",3330,July 25 Service revenue in SPS,8600.00,
JULYREV-36729,140.5,,976,A40007 - Service Income (New),07/31/2025,36729,,"ELEMENT FORTSMITH, ARKANSAS",3330,July 25 Service revenue in SPS,,8600.00
