External ID,S.No,Debit,Account ID,Credit ,Date,Invoice,,Customer,Entity Internal ID,Description,Debit Amt,Credit Amt
JULYREV-38394/2,56.5,,972,A40001 - Sales Income (New),07/16/2025,38394/2,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,,7066.78
JULYREV-38213/6,57,A11001 - Accounts Receivable (New),950,,07/18/2025,38213/6,,Hampton Inn Nashville,3338,July 25 Product revenue in SPS,49890.80,
JULYREV-38213/6,57.5,,972,A40001 - Sales Income (New),07/18/2025,38213/6,,Hampton Inn Nashville,3338,July 25 Product revenue in SPS,,49890.80
JULYREV-36849/10,58,A11001 - Accounts Receivable (New),950,,07/21/2025,36849/10,,Imagine Porcelain Co. IPC.,567,July 25 Product revenue in SPS,1980.00,
JULYREV-36849/10,58.5,,972,A40001 - Sales Income (New),07/21/2025,36849/10,,Imagine Porcelain Co. IPC.,567,July 25 Product revenue in SPS,,1980.00
JULYREV-37090/2,59,A11001 - Accounts Receivable (New),950,,07/23/2025,37090/2,,Ascent Home2 Montgomery,2571,July 25 Product revenue in SPS,0.00,
JULYREV-37090/2,59.5,,972,A40001 - Sales Income (New),07/23/2025,37090/2,,Ascent Home2 Montgomery,2571,July 25 Product revenue in SPS,,0.00
JULYREV-37678/6,60,A11001 - Accounts Receivable (New),950,,07/24/2025,37678/6,,Ascent Residence inn Montgomery,3320,July 25 Product revenue in SPS,46400.00,
JULYREV-37678/6,60.5,,972,A40001 - Sales Income (New),07/24/2025,37678/6,,Ascent Residence inn Montgomery,3320,July 25 Product revenue in SPS,,46400.00
JULYREV-38301/3,61,A11001 - Accounts Receivable (New),950,,07/25/2025,38301/3,,"Chesterfield Hospitality, Inc.",1558,July 25 Product revenue in SPS,10327.25,
JULYREV-38301/3,61.5,,972,A40001 - Sales Income (New),07/25/2025,38301/3,,"Chesterfield Hospitality, Inc.",1558,July 25 Product revenue in SPS,,10327.25
JULYREV-38304/2,62,A11001 - Accounts Receivable (New),950,,07/25/2025,38304/2,,"Chesterfield Hospitality, Inc.",1558,July 25 Product revenue in SPS,1994.68,
JULYREV-38304/2,62.5,,972,A40001 - Sales Income (New),07/25/2025,38304/2,,"Chesterfield Hospitality, Inc.",1558,July 25 Product revenue in SPS,,1994.68
JULYREV-38332,63,A11001 - Accounts Receivable (New),950,,07/25/2025,38332,,"Residence Inn Pearland, TX",2466,July 25 Product revenue in SPS,14089.22,
JULYREV-38332,63.5,,972,A40001 - Sales Income (New),07/25/2025,38332,,"Residence Inn Pearland, TX",2466,July 25 Product revenue in SPS,,14089.22
JULYREV-38299/2,64,A11001 - Accounts Receivable (New),950,,07/26/2025,38299/2,,"Chesterfield Hospitality, Inc.",1558,July 25 Product revenue in SPS,3435.28,
JULYREV-38299/2,64.5,,972,A40001 - Sales Income (New),07/26/2025,38299/2,,"Chesterfield Hospitality, Inc.",1558,July 25 Product revenue in SPS,,3435.28
JULYREV-38305/4,65,A11001 - Accounts Receivable (New),950,,07/26/2025,38305/4,,"Chesterfield Hospitality, Inc.",1558,July 25 Product revenue in SPS,15808.25,
JULYREV-38305/4,65.5,,972,A40001 - Sales Income (New),07/26/2025,38305/4,,"Chesterfield Hospitality, Inc.",1558,July 25 Product revenue in SPS,,15808.25
JULYREV-38305/6,66,A11001 - Accounts Receivable (New),950,,07/26/2025,38305/6,,"Chesterfield Hospitality, Inc.",1558,July 25 Product revenue in SPS,210.00,
JULYREV-38305/6,66.5,,972,A40001 - Sales Income (New),07/26/2025,38305/6,,"Chesterfield Hospitality, Inc.",1558,July 25 Product revenue in SPS,,210.00
JULYREV-38325/5,67,A11001 - Accounts Receivable (New),950,,07/26/2025,38325/5,,"Residence Inn Pearland, TX",2466,July 25 Product revenue in SPS,2402.16,
JULYREV-38325/5,67.5,,972,A40001 - Sales Income (New),07/26/2025,38325/5,,"Residence Inn Pearland, TX",2466,July 25 Product revenue in SPS,,2402.16
JULYREV-38516/2,68,A11001 - Accounts Receivable (New),950,,07/28/2025,38516/2,,RENFROW DECORATIVE CENTER,674,July 25 Product revenue in SPS,-1550.00,
JULYREV-38516/2,68.5,,972,A40001 - Sales Income (New),07/28/2025,38516/2,,RENFROW DECORATIVE CENTER,674,July 25 Product revenue in SPS,,-1550.00
JULYREV-34035/3,69,A11001 - Accounts Receivable (New),950,,07/30/2025,34035/3,,Hampton Inn Rosenberg,2520,July 25 Product revenue in SPS,1421.04,
JULYREV-34035/3,69.5,,972,A40001 - Sales Income (New),07/30/2025,34035/3,,Hampton Inn Rosenberg,2520,July 25 Product revenue in SPS,,1421.04
JULYREV-36567/5,70,A11001 - Accounts Receivable (New),950,,07/30/2025,36567/5,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,1020.00,
JULYREV-36567/5,70.5,,972,A40001 - Sales Income (New),07/30/2025,36567/5,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,,1020.00
JULYREV-36568/2,71,A11001 - Accounts Receivable (New),950,,07/30/2025,36568/2,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,142.98,
JULYREV-36568/2,71.5,,972,A40001 - Sales Income (New),07/30/2025,36568/2,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,,142.98
JULYREV-36569/3,72,A11001 - Accounts Receivable (New),950,,07/30/2025,36569/3,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,14690.13,
JULYREV-36569/3,72.5,,972,A40001 - Sales Income (New),07/30/2025,36569/3,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,,14690.13
JULYREV-36570,73,A11001 - Accounts Receivable (New),950,,07/30/2025,36570,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,32053.93,
JULYREV-36570,73.5,,972,A40001 - Sales Income (New),07/30/2025,36570,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,,32053.93
JULYREV-36578/2,74,A11001 - Accounts Receivable (New),950,,07/30/2025,36578/2,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,4490.03,
JULYREV-36578/2,74.5,,972,A40001 - Sales Income (New),07/30/2025,36578/2,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,,4490.03
JULYREV-36580/3,75,A11001 - Accounts Receivable (New),950,,07/30/2025,36580/3,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,1557.68,
JULYREV-36580/3,75.5,,972,A40001 - Sales Income (New),07/30/2025,36580/3,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,,1557.68
JULYREV-36581,76,A11001 - Accounts Receivable (New),950,,07/30/2025,36581,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,3054.29,
JULYREV-36581,76.5,,972,A40001 - Sales Income (New),07/30/2025,36581,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,,3054.29
JULYREV-36583/5,77,A11001 - Accounts Receivable (New),950,,07/30/2025,36583/5,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,3844.80,
JULYREV-36583/5,77.5,,972,A40001 - Sales Income (New),07/30/2025,36583/5,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,,3844.80
JULYREV-37977/5,78,A11001 - Accounts Receivable (New),950,,07/30/2025,37977/5,,Hampton Inn Rosenberg,2520,July 25 Product revenue in SPS,835.71,
JULYREV-37977/5,78.5,,972,A40001 - Sales Income (New),07/30/2025,37977/5,,Hampton Inn Rosenberg,2520,July 25 Product revenue in SPS,,835.71
JULYREV-38235/5,79,A11001 - Accounts Receivable (New),950,,07/30/2025,38235/5,,Hampton Inn Nashville,3338,July 25 Product revenue in SPS,30480.13,
JULYREV-38235/5,79.5,,972,A40001 - Sales Income (New),07/30/2025,38235/5,,Hampton Inn Nashville,3338,July 25 Product revenue in SPS,,30480.13
JULYREV-35228/10,80,A11001 - Accounts Receivable (New),950,,07/31/2025,35228/10,,"La Quinta - Chelsea,AL",3355,July 25 Product revenue in SPS,6224.00,
JULYREV-35228/10,80.5,,972,A40001 - Sales Income (New),07/31/2025,35228/10,,"La Quinta - Chelsea,AL",3355,July 25 Product revenue in SPS,,6224.00
JULYREV-35801,81,A11001 - Accounts Receivable (New),950,,07/31/2025,35801,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,54642.01,
JULYREV-35801,81.5,,972,A40001 - Sales Income (New),07/31/2025,35801,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,,54642.01
JULYREV-35805,82,A11001 - Accounts Receivable (New),950,,07/31/2025,35805,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,66666.91,
JULYREV-35805,82.5,,972,A40001 - Sales Income (New),07/31/2025,35805,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,,66666.91
JULYREV-36579/3,83,A11001 - Accounts Receivable (New),950,,07/31/2025,36579/3,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,2467.50,
JULYREV-36579/3,83.5,,972,A40001 - Sales Income (New),07/31/2025,36579/3,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,,2467.50
JULYREV-36729,84,A11001 - Accounts Receivable (New),950,,07/31/2025,36729,,"ELEMENT FORTSMITH, ARKANSAS",3330,July 25 Product revenue in SPS,2634.29,
JULYREV-36729,84.5,,972,A40001 - Sales Income (New),07/31/2025,36729,,"ELEMENT FORTSMITH, ARKANSAS",3330,July 25 Product revenue in SPS,,2634.29
JULYREV-36758/3,85,A11001 - Accounts Receivable (New),950,,07/31/2025,36758/3,,La Quinta Athens Alabama,2442,July 25 Product revenue in SPS,661.82,
JULYREV-36758/3,85.5,,972,A40001 - Sales Income (New),07/31/2025,36758/3,,La Quinta Athens Alabama,2442,July 25 Product revenue in SPS,,661.82
JULYREV-36766/3,86,A11001 - Accounts Receivable (New),950,,07/31/2025,36766/3,,La Quinta Athens Alabama,2442,July 25 Product revenue in SPS,8545.64,
JULYREV-36766/3,86.5,,972,A40001 - Sales Income (New),07/31/2025,36766/3,,La Quinta Athens Alabama,2442,July 25 Product revenue in SPS,,8545.64
JULYREV-36920/4,87,A11001 - Accounts Receivable (New),950,,07/31/2025,36920/4,,AUTOGRAPH MAYA-PS,464,July 25 Product revenue in SPS,75546.24,
JULYREV-36920/4,87.5,,972,A40001 - Sales Income (New),07/31/2025,36920/4,,AUTOGRAPH MAYA-PS,464,July 25 Product revenue in SPS,,75546.24
JULYREV-37239,88,A11001 - Accounts Receivable (New),950,,07/31/2025,37239,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,0.00,
JULYREV-37239,88.5,,972,A40001 - Sales Income (New),07/31/2025,37239,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,,0.00
JULYREV-37283,89,A11001 - Accounts Receivable (New),950,,07/31/2025,37283,,La Quinta Athens Alabama,2442,July 25 Product revenue in SPS,0.00,
JULYREV-37283,89.5,,972,A40001 - Sales Income (New),07/31/2025,37283,,La Quinta Athens Alabama,2442,July 25 Product revenue in SPS,,0.00
JULYREV-37369,90,A11001 - Accounts Receivable (New),950,,07/31/2025,37369,,AFP 108 Corp.,2601,July 25 Product revenue in SPS,527.92,
JULYREV-37369,90.5,,972,A40001 - Sales Income (New),07/31/2025,37369,,AFP 108 Corp.,2601,July 25 Product revenue in SPS,,527.92
JULYREV-37412/4,91,A11001 - Accounts Receivable (New),950,,07/31/2025,37412/4,,Ascent Hospitality Element Carmel Indiana,3314,July 25 Product revenue in SPS,0.00,
JULYREV-37412/4,91.5,,972,A40001 - Sales Income (New),07/31/2025,37412/4,,Ascent Hospitality Element Carmel Indiana,3314,July 25 Product revenue in SPS,,0.00
JULYREV-37682,92,A11001 - Accounts Receivable (New),950,,07/31/2025,37682,,Ascent Residence inn Montgomery,3320,July 25 Product revenue in SPS,50982.97,
JULYREV-37682,92.5,,972,A40001 - Sales Income (New),07/31/2025,37682,,Ascent Residence inn Montgomery,3320,July 25 Product revenue in SPS,,50982.97
JULYREV-37759/4,93,A11001 - Accounts Receivable (New),950,,07/31/2025,37759/4,,"ELEMENT FORTSMITH, ARKANSAS",3330,July 25 Product revenue in SPS,0.00,
JULYREV-37759/4,93.5,,972,A40001 - Sales Income (New),07/31/2025,37759/4,,"ELEMENT FORTSMITH, ARKANSAS",3330,July 25 Product revenue in SPS,,0.00
JULYREV-38357/2,94,A11001 - Accounts Receivable (New),950,,07/31/2025,38357/2,,Ascent Hospitality- Autograph Huntsville,3318,July 25 Product revenue in SPS,82308.68,
JULYREV-38357/2,94.5,,972,A40001 - Sales Income (New),07/31/2025,38357/2,,Ascent Hospitality- Autograph Huntsville,3318,July 25 Product revenue in SPS,,82308.68
JULYREV-38361/2,95,A11001 - Accounts Receivable (New),950,,07/31/2025,38361/2,,Ascent Hospitality- Autograph Huntsville,3318,July 25 Product revenue in SPS,1444188.49,
JULYREV-38361/2,95.5,,972,A40001 - Sales Income (New),07/31/2025,38361/2,,Ascent Hospitality- Autograph Huntsville,3318,July 25 Product revenue in SPS,,1444188.49
JULYREV-38362,96,A11001 - Accounts Receivable (New),950,,07/31/2025,38362,,Ascent Hospitality- Autograph Huntsville,3318,July 25 Product revenue in SPS,184356.52,
JULYREV-38362,96.5,,972,A40001 - Sales Income (New),07/31/2025,38362,,Ascent Hospitality- Autograph Huntsville,3318,July 25 Product revenue in SPS,,184356.52
JULYREV-38362/2,97,A11001 - Accounts Receivable (New),950,,07/31/2025,38362/2,,Ascent Hospitality- Autograph Huntsville,3318,July 25 Product revenue in SPS,65372.56,
JULYREV-38362/2,97.5,,972,A40001 - Sales Income (New),07/31/2025,38362/2,,Ascent Hospitality- Autograph Huntsville,3318,July 25 Product revenue in SPS,,65372.56
JULYREV-38363/2,98,A11001 - Accounts Receivable (New),950,,07/31/2025,38363/2,,Ascent Hospitality- Autograph Huntsville,3318,July 25 Product revenue in SPS,88431.10,
JULYREV-38363/2,98.5,,972,A40001 - Sales Income (New),07/31/2025,38363/2,,Ascent Hospitality- Autograph Huntsville,3318,July 25 Product revenue in SPS,,88431.10
JULYREV-38365/8,99,A11001 - Accounts Receivable (New),950,,07/31/2025,38365/8,,Ascent Hospitality- Autograph Huntsville,3318,July 25 Product revenue in SPS,0.00,
JULYREV-38365/8,99.5,,972,A40001 - Sales Income (New),07/31/2025,38365/8,,Ascent Hospitality- Autograph Huntsville,3318,July 25 Product revenue in SPS,,0.00
JULYREV-38368/3,100,A11001 - Accounts Receivable (New),950,,07/31/2025,38368/3,,Ascent Hospitality- Autograph Huntsville,3318,July 25 Product revenue in SPS,44144.76,
JULYREV-38368/3,100.5,,972,A40001 - Sales Income (New),07/31/2025,38368/3,,Ascent Hospitality- Autograph Huntsville,3318,July 25 Product revenue in SPS,,44144.76
JULYREV-38384,101,A11001 - Accounts Receivable (New),950,,07/31/2025,38384,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,11929.05,
JULYREV-38384,101.5,,972,A40001 - Sales Income (New),07/31/2025,38384,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,,11929.05
JULYREV-38386/5,102,A11001 - Accounts Receivable (New),950,,07/31/2025,38386/5,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,19733.67,
JULYREV-38386/5,102.5,,972,A40001 - Sales Income (New),07/31/2025,38386/5,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,,19733.67
JULYREV-38400,103,A11001 - Accounts Receivable (New),950,,07/31/2025,38400,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,22091.87,
JULYREV-38400,103.5,,972,A40001 - Sales Income (New),07/31/2025,38400,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,,22091.87
JULYREV-38623,104,A11001 - Accounts Receivable (New),950,,07/31/2025,38623,,Trylon LLC/ RJ Construction LTD,1688,July 25 Product revenue in SPS,4720.00,
JULYREV-38623,104.5,,972,A40001 - Sales Income (New),07/31/2025,38623,,Trylon LLC/ RJ Construction LTD,1688,July 25 Product revenue in SPS,,4720.00
JULYREV-38724,105,A11001 - Accounts Receivable (New),950,,07/31/2025,38724,,Ascent hospitality Townplace Suites Fairburn IN,2713,July 25 Product revenue in SPS,0.00,
JULYREV-38724,105.5,,972,A40001 - Sales Income (New),07/31/2025,38724,,Ascent hospitality Townplace Suites Fairburn IN,2713,July 25 Product revenue in SPS,,0.00
JULYREV-37579/3,106,A11001 - Accounts Receivable (New),950,,07/01/2025,37579/3,,Fairfield Townplace East Hartford,3335,July 25 Service revenue in SPS,33690.51,
JULYREV-37579/3,106.5,,976,A40007 - Service Income (New),07/01/2025,37579/3,,Fairfield Townplace East Hartford,3335,July 25 Service revenue in SPS,,33690.51
JULYREV-36570,107,A11001 - Accounts Receivable (New),950,,07/30/2025,36570,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,16950.00,
JULYREV-36570,107.5,,976,A40007 - Service Income (New),07/30/2025,36570,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,,16950.00
JULYREV-36581,108,A11001 - Accounts Receivable (New),950,,07/30/2025,36581,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,2850.00,
JULYREV-36581,108.5,,976,A40007 - Service Income (New),07/30/2025,36581,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,,2850.00
JULYREV-35760/7,109,A11001 - Accounts Receivable (New),950,,07/31/2025,35760/7,,"La Quinta Hawthorn - Miamisburg, OH",3358,July 25 Product revenue in SPS,5492.40,
JULYREV-35760/7,109.5,,976,A40007 - Service Income (New),07/31/2025,35760/7,,"La Quinta Hawthorn - Miamisburg, OH",3358,July 25 Product revenue in SPS,,5492.40
JULYREV-36729,110,A11001 - Accounts Receivable (New),950,,07/31/2025,36729,,"ELEMENT FORTSMITH, ARKANSAS",3330,July 25 Product revenue in SPS,8600.00,
JULYREV-36729,110.5,,976,A40007 - Service Income (New),07/31/2025,36729,,"ELEMENT FORTSMITH, ARKANSAS",3330,July 25 Product revenue in SPS,,8600.00
JULYREV-33555,111,A11001 - Accounts Receivable (New),950,,07/01/2025,33555,,La Quinta Inn & Suites - Seatac Airport - Seattle WA,2328,July 25 Freight revenue in SPS,3894.22,
