External ID,Document Number,Internal ID,Name,Main Line Name,Vendor internal ID,Subsidiary (no hierarchy),Subsidiary ID,Date,Line Description,Location,Loaction ID,Currency,Exchange Rate,Approval Status,Line #,Item,Blue Collar Project,Cost Code,Item Internal ID,Description,Custom UOM,Quantity,Units,Amount
PO575,PO575,3286,,HARMONY HOSPITALITY CO LTD,2517,Graniti Vicentia LLC,3,03/19/2025,"Pillow 1 (18"" x 18"") @ Modular Sofa",Houston (GV LLC),2,US Dollar,1,Approved,34,Contract Item-EA,LQ Brownsville,Seating,11164,,,4,Each,44.00
PO575,PO575,3286,LQ Brownsville,HARMONY HOSPITALITY CO LTD,2517,Graniti Vicentia LLC,3,03/19/2025,Fabric @ Pillow 1 (1 Yard),Houston (GV LLC),2,US Dollar,1,Approved,35,GV-F-BOS-MOS-100-3,LQ Brownsville,Seating,11647,BOSTON MOSTAZA FABRIC,,3.2,Yard,28.48
PO575,PO575,3286,,HARMONY HOSPITALITY CO LTD,2517,Graniti Vicentia LLC,3,03/19/2025,"Pillow 2 (15"" x 20"") @ Modular Sofa",Houston (GV LLC),2,US Dollar,1,Approved,36,Contract Item-EA,LQ Brownsville,Seating,11164,,,4,Each,40.00
PO575,PO575,3286,,HARMONY HOSPITALITY CO LTD,2517,Graniti Vicentia LLC,3,03/19/2025,Fabric @ Pillow 2 (1 Yard),Houston (GV LLC),2,US Dollar,1,Approved,37,GV-F-BOS-MOS-100-3,LQ Brownsville,Seating,11647,BOSTON MOSTAZA FABRIC,,3.2,Yard,28.48
PO575,PO575,3286,,HARMONY HOSPITALITY CO LTD,2517,Graniti Vicentia LLC,3,03/19/2025,"Lumbar Pillow 3 (10"" x 20"") @ Modular Sofa",Houston (GV LLC),2,US Dollar,1,Approved,38,Contract Item-EA,LQ Brownsville,Seating,11164,,,2,Each,18.00
PO575,PO575,3286,LQ Brownsville,HARMONY HOSPITALITY CO LTD,2517,Graniti Vicentia LLC,3,03/19/2025,Fabric @ Lumbar Pillow 3 (1 Yard),Houston (GV LLC),2,US Dollar,1,Approved,39,GV-SGF-LOV-BLA-100-66,LQ Brownsville,Seating,6218,Lovisa Black & White Fabric,,2,Yard,44.00
PO575,PO575,3286,,HARMONY HOSPITALITY CO LTD,2517,Graniti Vicentia LLC,3,03/19/2025,Ocean Freight,Houston (GV LLC),2,US Dollar,1,Approved,40,Delivery Charges,,,6152,,,1,Lump Sum,1300.36
PO575,PO575,3286,,HARMONY HOSPITALITY CO LTD,2517,Graniti Vicentia LLC,3,03/19/2025,Ocean Freight,Houston (GV LLC),2,US Dollar,1,Approved,41,Delivery Charges,,,6152,,,1,Lump Sum,160.73
PO579,PO579,3425,,TransCeramica-4042,1290,Graniti Vicentia LLC,3,03/20/2025,Fiandre TCG1224004 Lumiere Matte 12x24,Houston (GV LLC),2,US Dollar,1,Approved,1,TCG1224004-Lumiere Matte 12x24,,,12734,Fiandre TCG1224004 Lumiere Matte 12x24,,2504.409,Square Foot,3756.61
PO587,PO587,3434,SET Floors,"Stonepeak Ceramics, Inc.",228,Graniti Vicentia LLC,3,03/20/2025,VW LIGHT GREY TILE 24x24 8mm,Houston (GV LLC),2,US Dollar,1,Approved,1,VWX600113X8,,,18611,,,15.5,Square Foot,51.15
PO587,PO587,3434,,"Stonepeak Ceramics, Inc.",228,Graniti Vicentia LLC,3,03/20/2025,SALES TAXES,Houston (GV LLC),2,US Dollar,1,Approved,2,Delivery Charges,,,6152,,,1,Lump Sum,4.22
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,GR-317-CG Queen Headboard w/LED Uplight,Houston (GV LLC),2,US Dollar,1,Approved,1,,,,,,,,,99.49
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,GR-317.F1-CGF Vinyl @ Queen Headboard --- 3 Yards @ 7.50,Houston (GV LLC),2,US Dollar,1,Approved,2,,,,,,,,,22.50
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,GR-003-ACC LED Uplight @ Queen Headboard,Houston (GV LLC),2,US Dollar,1,Approved,3,,,,,,,,,30.00
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,GR-301.1-CG Nightstand and Panel w/ Power,Houston (GV LLC),2,US Dollar,1,Approved,4,,,,,,,,,117.23
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,GR-002-ACC Guest Convenience Outlet - No Switch,Houston (GV LLC),2,US Dollar,1,Approved,5,,,,,,,,,7.50
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,GR-301.2 Nightstand and Panel w/Power (Switch for LED included),Houston (GV LLC),2,US Dollar,1,Approved,6,,,,,,,,,117.23
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,GR-001-Acc Guest Convenience Outlet - w/switch,Houston (GV LLC),2,US Dollar,1,Approved,7,,,,,,,,,18.50
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,"GR-308L-CG 42"" Bathroom Vanity @ King Suite",Houston (GV LLC),2,US Dollar,1,Approved,8,,,,,,,,,370.03
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,GR-018-ACC Tissue Paper Holder @ Vanity,Houston (GV LLC),2,US Dollar,1,Approved,9,,,,,,,,,0.00
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,GR-306-CG Shelves with Brackets @ Kitchen -- 2 each @,Houston (GV LLC),2,US Dollar,1,Approved,10,,,,,,,,,150.96
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,GR-307-CG Spice Rack -- 1 each,Houston (GV LLC),2,US Dollar,1,Approved,11,,,,,,,,,39.87
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,Crating Charge,Houston (GV LLC),2,US Dollar,1,Approved,12,,,,,,,,,360.00
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,Expedited Shipping,Houston (GV LLC),2,US Dollar,1,Approved,13,,,,,,,,,0.00
PO588,PO588,3814,"Gulf Coast Hotel Group,LLC DBA Doubletree by Hilton",TransCeramica-4042,1290,Graniti Vicentia LLC,3,03/24/2025,,Houston (GV LLC),2,US Dollar,1,Approved,1,FIANDRE USA-TCG1224023,,,18510,,,47.25,Square Foot,120.97
PO589,PO589,3879,LQ Brownsville,"Jasfer Industry Co., Limited",137,Graniti Vicentia LLC,3,03/25/2025,WT-10 Wall Tile @ Great Room - Signature Mosaic Mural --- 8230 x 2819,Houston (GV LLC),2,US Dollar,1,Approved,59,Contract Item - SF,LQ Brownsville,Wallcovering : Wall Finishes,6356,,,350,Square Foot,8120.00
PO589,PO589,3879,,"Jasfer Industry Co., Limited",137,Graniti Vicentia LLC,3,03/25/2025,Expedited Shipping,Houston (GV LLC),2,US Dollar,1,Approved,60,Delivery Charges,,,6152,,,1,Lump Sum,0.00
PO589,PO589,3879,,"Jasfer Industry Co., Limited",137,Graniti Vicentia LLC,3,03/25/2025,Pallet Fee,Houston (GV LLC),2,US Dollar,1,Approved,61,Delivery Charges,,,6152,,,1,Lump Sum,20.00
PO594,PO594,6318,,Tarkett Hospitality,1288,Graniti Vicentia LLC,3,03/27/2025,GR-901-AR Area Rug @ King Studio & 1 Bedroom Suite - 2 each per Specification@ $170.10 ea,Houston (GV LLC),2,US Dollar,1,Approved,1,,,,,,,,,340.20
PO594,PO594,6318,,Tarkett Hospitality,1288,Graniti Vicentia LLC,3,03/27/2025,Freight SHIPPING CHARGES,Houston (GV LLC),2,US Dollar,1,Approved,2,,,,,,,,,159.96
PO597,PO597,6373,,"Beijing Topli Decorative Materials Co., LTD",1233,Graniti Vicentia LLC,3,05/13/2025,GST-WC-02 Wall Covering @ Guestroom Bath (TWM21307-9) ,Houston (GV LLC),2,US Dollar,1,Approved,1,Contract Item - LY,,,13189,,,295.28,Linear Yard,1328.74
PO597,PO597,6373,,"Beijing Topli Decorative Materials Co., LTD",1233,Graniti Vicentia LLC,3,05/13/2025,"Total Air freight cost increased by 230.5$+5257/2=2859$, so final is 236$+2859$=3095$",Houston (GV LLC),2,US Dollar,1,Approved,2,Delivery Charges,,,6152,,,1,Lump Sum,3095.00
PO1242,PO1242,6462,,"MileStone Florim USA, Inc.",1962,Graniti Vicentia LLC,3,03/28/2025,Basaltine Light Grey 24x48 Matte,Houston (GV LLC),2,US Dollar,1,Approved,1,1104176,,,21451,,,1808,Square Foot,2440.80
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,GR-201.C King Headboard w/LED Uplight,Houston (GV LLC),2,US Dollar,1,Approved,1,,,,,,,,,472.80
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,GR-201.F1-D{F Vinyl @ King Headboard,Houston (GV LLC),2,US Dollar,1,Approved,2,,,,,,,,,60.00
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,GR-201.C Led Strip Light,Houston (GV LLC),2,US Dollar,1,Approved,3,,,,,,,,,44.50
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,GR.201.C Outlet,Houston (GV LLC),2,US Dollar,1,Approved,4,,,,,,,,,7.50
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,GR-201.C Outlet w/ Switch - 1 each,Houston (GV LLC),2,US Dollar,1,Approved,5,,,,,,,,,8.50
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,GR-202.C Rectangular Night Stand,Houston (GV LLC),2,US Dollar,1,Approved,6,,,,,,,,,245.10
