External ID,Document Number,Internal ID,Name,Main Line Name,Vendor internal ID,Subsidiary (no hierarchy),Subsidiary ID,Date,Location,Loaction ID,Currency,Exchange Rate,Approval Status,Line #,Expense Amount,Account,Account internal ID,Line description
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,Houston (GV LLC),2,US Dollar,1,Approved,10,15,60200 Sales Expense : Marketing & Advertisement,257,GR-208.C Outlet  --- 2 @ 7.50
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,Houston (GV LLC),2,US Dollar,1,Approved,11,499.5,60200 Sales Expense : Marketing & Advertisement,257,GR-215.C Luggage Bench
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,Houston (GV LLC),2,US Dollar,1,Approved,12,24,60200 Sales Expense : Marketing & Advertisement,257,GR-215.F1-DPF Vinyl @ Luggage Bench
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,Houston (GV LLC),2,US Dollar,1,Approved,13,403.74,60200 Sales Expense : Marketing & Advertisement,257,GR-214.C Desk Unit
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,Houston (GV LLC),2,US Dollar,1,Approved,14,567,60200 Sales Expense : Marketing & Advertisement,257,"GR-212.C 48"" Bathroom Vanity"
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,Houston (GV LLC),2,US Dollar,1,Approved,15,0,60200 Sales Expense : Marketing & Advertisement,257,"GR-212.1-CG 18"" Towel Bar @ Bathroom Vanity"
PO1239,PO1239,6467,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/28/2025,Houston (GV LLC),2,US Dollar,1,Approved,16,10,60200 Sales Expense : Marketing & Advertisement,257,Expedited Shipping
PO1258,PO1258,7929,,Momentum Group,1971,Graniti Vicentia LLC,3,04/07/2025,Houston (GV LLC),2,US Dollar,1,Approved,1,658.5,60200 Sales Expense : Marketing & Advertisement,257,Alameda - Nightfall - SKU:  A214-318 --- 1 each 30 LY roll @2195 / ly
PO1258,PO1258,7929,,Momentum Group,1971,Graniti Vicentia LLC,3,04/07/2025,Houston (GV LLC),2,US Dollar,1,Approved,2,465.55,60200 Sales Expense : Marketing & Advertisement,257,Expedited Shipping
PO1258,PO1258,7929,,Momentum Group,1971,Graniti Vicentia LLC,3,04/07/2025,Houston (GV LLC),2,US Dollar,1,Approved,3,22.48,60200 Sales Expense : Marketing & Advertisement,257,Credit Card Fee
PO60080,PO60080,11894,,MONSTER DISPLAYS,2411,GV Facades,3,05/08/2025,Houston (GVF),1,US Dollar,1,Approved,1,1050,60200 Sales Expense : Marketing & Advertisement,257,Brightline Panel BLM-2000J KIT  Size: 40in x 96 in Includes: (1) Hardware with power supply (1) CA400 Shipping case (1) OnePlanet BACKLIT Graphic (1) OnePlanet Light BLOCKER Fabric
PO60162,PO60162,13838,,ZBOM Cabinets Corp.,1297,Graniti Vicentia LLC,3,05/29/2025,Houston (GV LLC),2,US Dollar,1,Approved,1,1470,50040 Cost of Good Sold : Freight & Delivery Charges,244,Air Freight Samples
