External ID,Not uploaded,Item ID,Item,Invoice ID/Reference,Vendor ID,Netsuite Name,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Bin,Bin ID,Serial/lot
NSOPENBALBILL565,#N/A,40391,cogs,W-0414,137,,"Jasfer Industry Co., Limited",04/14/2025,-4884.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20267,CW-029,17,1771
NSOPENBALBILL567,#N/A,40391,cogs,W-0422,137,,"Jasfer Industry Co., Limited",04/22/2025,-81156.24,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20269,CW-030,17,1772
NSOPENBALBILL571,#N/A,40391,cogs,W-0506,137,,"Jasfer Industry Co., Limited",05/06/2025,-385253.20,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20273,CW-031,17,1773
NSOPENBALBILL572,#N/A,40391,cogs,W-0508,137,,"Jasfer Industry Co., Limited",05/08/2025,-536297.22,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20274,CW-032,17,1774
NSOPENBALBILL576,#N/A,40391,cogs,INVOICE  NO.:25BL012401,137,,"Jasfer Industry Co., Limited",05/11/2025,10.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20278,CW-033,17,1775
NSOPENBALBILL577,#N/A,40391,cogs,INVOICE  NO.:25RT030503,137,,"Jasfer Industry Co., Limited",05/11/2025,243.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20279,CW-034,17,1776
NSOPENBALBILL610,#N/A,40391,cogs,W-0522,137,,"Jasfer Industry Co., Limited",05/22/2025,-600000.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20312,CW-035,17,1777
NSOPENBALBILL654,#N/A,40391,cogs,W-0610,137,,"Jasfer Industry Co., Limited",06/10/2025,-19228.35,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20356,CW-036,17,1778
NSOPENBALBILL677,#N/A,40391,cogs,W-0415,2395,,Juniper Design Group,04/15/2025,-6489.69,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20379,CW-037,17,1779
NSOPENBALBILL685,#N/A,40391,cogs,W-0625,2563,Kronos USA,KRONOS CERAMICHE,06/25/2025,-18135.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20387,CW-038,17,1780
NSOPENBALBILL694,#N/A,40391,cogs,Projects-2024,163,"Marvelous Surfaces LLC	",Marvelous Surfaces,12/23/2024,19029.32,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20396,CW-039,17,1781
NSOPENBALBILL697,#N/A,40391,cogs,W-0220,1266,,MASOMEX GLOBAL,02/20/2025,-1951.83,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20399,CW-040,17,1782
NSOPENBALBILL699,#N/A,40391,cogs,41186415,1267,MDC Interior Solutions,MDC Wallcovering,04/10/2025,2019.56,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20401,CW-041,17,1783
NSOPENBALBILL700,#N/A,40391,cogs,41188101,1267,MDC Interior Solutions,MDC Wallcovering,06/22/2025,-1748.55,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20402,CW-042,17,1784
NSOPENBALBILL701,#N/A,40391,cogs,credit from overpayment,167,Mediterranean Shipping Co. USA Inc,Mediterranean Shipping Company MSC,03/03/2025,-1247.44,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20403,CW-043,17,1785
NSOPENBALBILL702,#N/A,40391,cogs,W-0811,168,,MELLOWLAND FURNISHING INC,08/11/2023,-90.03,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20404,CW-044,17,1786
NSOPENBALBILL703,#N/A,40391,cogs,W-0817,168,,MELLOWLAND FURNISHING INC,08/17/2023,-513.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20405,CW-045,17,1787
NSOPENBALBILL704,#N/A,40391,cogs,W-0116,168,,MELLOWLAND FURNISHING INC,01/16/2024,-102.74,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20406,CW-046,17,1788
NSOPENBALBILL709,#N/A,40391,cogs,90457176 - 60294,1962,,"MileStone Florim USA, Inc.",06/30/2025,23819.04,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20411,CW-047,17,1789
NSOPENBALBILL711,#N/A,40391,cogs,PrePayment  - PO60188,1269,,Milliken,06/13/2025,-1026.14,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20413,CW-048,17,1790
NSOPENBALBILL712,#N/A,40391,cogs,25336/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,08/01/2024,2790.19,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20414,CW-049,17,1791
NSOPENBALBILL713,#N/A,40391,cogs,30934/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,10/01/2024,0.14,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20415,CW-050,17,1792
NSOPENBALBILL714,#N/A,40391,cogs,45453/VE,173,MirageGranitoCeramico S.p.A,Mirage Granito Ceramico S.p.A.,11/12/2024,924.60,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20416,CW-051,17,1793
