External ID,Item ID,Item,Invoice ID/Reference,Length,Vendor ID,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Memo,Location,Bin,Bin ID,SERIAL/LOT NUMBER
NSOPENBALBILL055,40391,cogs,241024USA-832,13,1233,"Beijing Topli Decorative Materials Co., LTD",11/01/2024,9.86,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1012
NSOPENBALBILL056,40391,cogs,241024USA-836,13,1233,"Beijing Topli Decorative Materials Co., LTD",11/01/2024,2381.39,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1013
NSOPENBALBILL057,40391,cogs,241115USA-919,13,1233,"Beijing Topli Decorative Materials Co., LTD",11/15/2024,1478.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1014
NSOPENBALBILL058,40391,cogs,241120USA-938,13,1233,"Beijing Topli Decorative Materials Co., LTD",11/20/2024,2763.97,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1015
NSOPENBALBILL059,40391,cogs,241115USA-925,13,1233,"Beijing Topli Decorative Materials Co., LTD",12/01/2024,589.41,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1016
NSOPENBALBILL060,40391,cogs,250331USA-225,13,1233,"Beijing Topli Decorative Materials Co., LTD",03/31/2025,6700.08,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1017
NSOPENBALBILL061,40391,cogs,W-0409,6,1233,"Beijing Topli Decorative Materials Co., LTD",04/09/2025,-29627.25,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1018
NSOPENBALBILL062,40391,cogs,250605USA-411,13,1233,"Beijing Topli Decorative Materials Co., LTD",06/05/2025,381.36,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1019
NSOPENBALBILL068,40391,cogs,GV2024101,9,1237,"Cambodian Zulite Stone Co., Ltd.",01/01/2025,0.01,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1020
NSOPENBALBILL069,40391,cogs,GV2024001,9,1237,"Cambodian Zulite Stone Co., Ltd.",04/01/2025,58501.75,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1021
