External ID,Not uploaded,Item ID,Item,Invoice ID/Reference,Length,Vendor ID,Netsuite Name,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Bin,serial/lot
NSOPENBALBILL304,#N/A,40391,cogs,2024-BILL-009,25,1255,,GREEN RIVER INTL INC,10/01/2024,6530.51,3,Graniti Vicentia LLC,"SR393-4,SR393-4S,SR410-3, (Import SPS data by Invoice in Netsuite)",A20006,17,1810
NSOPENBALBILL305,#N/A,40391,cogs,2024-BILL-010,33,122,,GV Facades LLC,05/06/2024,2903.02,3,Graniti Vicentia LLC,Whitaker 04-29-2024 to 05-05-2024 (Import SPS data by Invoice in Netsuite),A20007,17,1811
NSOPENBALBILL306,#N/A,40391,cogs,2024-BILL-011,29,122,,GV Facades LLC,06/03/2024,2152.48,3,Graniti Vicentia LLC,HWY6 05-27-2024 to 06-02-2024 (Import SPS data by Invoice in Netsuite),A20008,17,1812
NSOPENBALBILL307,#N/A,40391,cogs,2024-BILL-012,52,122,,GV Facades LLC,06/03/2024,5204.46,3,Graniti Vicentia LLC,LQ Memphis Window Treatment 05-27-2024 to 06-02-2024(Import SPS data by Invoice in Netsuite),A20009,17,1813
NSOPENBALBILL308,#N/A,40391,cogs,2024-BILL-013,33,122,,GV Facades LLC,06/03/2024,4552.02,3,Graniti Vicentia LLC,The Eden 05-27-2024 to 06-02-2024(Import SPS data by Invoice in Netsuite),A20010,17,1814
NSOPENBALBILL309,#N/A,40391,cogs,2024-BILL-014,56,122,,GV Facades LLC,06/03/2024,7040.00,3,Graniti Vicentia LLC,Tribute-Element Carmel IN  FF&E 05-27-2024 to 06-02-2024 (Import SPS data by Invoice in Netsuite),A20011,17,1815
NSOPENBALBILL310,#N/A,40391,cogs,2024-BILL-015,43,122,,GV Facades LLC,06/03/2024,13844.95,3,Graniti Vicentia LLC,Wyndham Kingman AZ 05-27-2024 to 06-02-2024 (Import SPS data by Invoice in Netsuite),A20012,17,1816
NSOPENBALBILL311,#N/A,40391,cogs,2024-BILL-016,49,122,,GV Facades LLC,08/26/2024,2250.72,3,Graniti Vicentia LLC,Residence Inn Fort Smith 08-19-2024 to 08-25-2024(Import SPS data by Invoice in Netsuite),A20013,17,1817
NSOPENBALBILL312,#N/A,40391,cogs,2024-BILL-017,28,122,,GV Facades LLC,12/09/2024,20974.15,3,Graniti Vicentia LLC,GSR 12-02-2024 to 12-08-2024 (Import SPS data by Invoice in Netsuite),A20014,17,1818
NSOPENBALBILL313,#N/A,40391,cogs,2024-BILL-018,29,122,,GV Facades LLC,12/09/2024,1859.64,3,Graniti Vicentia LLC,HWY6 12-02-2024 to 12-08-2024 (Import SPS data by Invoice in Netsuite),A20015,17,1819
NSOPENBALBILL314,#N/A,40391,cogs,2025-BILL-019,11,122,,GV Facades LLC,01/09/2025,-245.41,3,Graniti Vicentia LLC,GV TRANSFER (Import SPS data by Invoice in Netsuite),A20016,17,1820
NSOPENBALBILL315,#N/A,40391,cogs,2025-BILL-031,50,122,,GV Facades LLC,05/12/2025,4462.72,3,Graniti Vicentia LLC,Las Vegas Trade Show 1074 05-05-2025 to 05-11-2025 (Import SPS data by Invoice in Netsuite),A20017,17,1821
NSOPENBALBILL316,#N/A,40391,cogs,2025-BILL-032,46,122,,GV Facades LLC,05/27/2025,3517.30,3,Graniti Vicentia LLC,Jonathan Ramirez HWY6 05-19-2025 to 05-25-2025 (Import SPS data by Invoice in Netsuite),A20018,17,1822
NSOPENBALBILL317,#N/A,40391,cogs,2025-BILL-033,38,122,,GV Facades LLC,06/02/2025,371.50,3,Graniti Vicentia LLC,335 8th St NY 05-26-2025 to 06-01-2025 (Import SPS data by Invoice in Netsuite),A20019,17,1823
NSOPENBALBILL318,#N/A,40391,cogs,2025-BILL-034,46,122,,GV Facades LLC,06/30/2025,6990.00,3,Graniti Vicentia LLC,1430 Lincoln BLVD L.A 06-23-2025 to 06-29-2025 (Import SPS data by Invoice in Netsuite),A20020,17,1824
NSOPENBALBILL319,#N/A,40391,cogs,2025-BILL-035,38,122,,GV Facades LLC,06/30/2025,3654.00,3,Graniti Vicentia LLC,HWY6 Fab Shop 06-23-2025 to 06-29-2025 (Import SPS data by Invoice in Netsuite),A20021,17,1825
NSOPENBALBILL320,#N/A,40391,cogs,2025-BILL-036,41,122,,GV Facades LLC,06/30/2025,41155.78,3,Graniti Vicentia LLC,Sahara Las Vegas 06-23-2025 to 06-29-2025 (Import SPS data by Invoice in Netsuite),A20022,17,1826
NSOPENBALBILL321,#N/A,40391,cogs,2025-BILL-037,48,122,,GV Facades LLC,06/30/2025,5919.78,3,Graniti Vicentia LLC,Urban Atelier Group LLC 06-23-2025 to 06-29-2025 (Import SPS data by Invoice in Netsuite),A20023,17,1827
NSOPENBALBILL756,#N/A,40391,cogs,2025-BILL-027,36,1270,,Modular Shower Walls,06/30/2025,6066.70,3,Graniti Vicentia LLC,1374e7d1-71a0-443a-bf70-5277a700ce9a (Import SPS data by Invoice in Netsuite),A20458,17,1828
NSOPENBALBILL757,#N/A,40391,cogs,2025-BILL-028,36,1270,,Modular Shower Walls,06/30/2025,19511.21,3,Graniti Vicentia LLC,b0d91988-30ee-432a-8a79-2bb9d511fec8 (Import SPS data by Invoice in Netsuite),A20459,17,1829
NSOPENBALBILL759,#N/A,40391,cogs,824013041 - PF,14,1971,,Momentum Group,11/06/2024,-44.04,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20461,17,1830
NSOPENBALBILL760,#N/A,40391,cogs,W-0403,6,1971,,Momentum Group,04/03/2025,-16583.29,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20462,17,1831
NSOPENBALBILL761,#N/A,40391,cogs,PrePayment  - PO1258/NetSuite,29,1971,,Momentum Group,04/09/2025,-1146.53,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20463,17,1832
NSOPENBALBILL762,#N/A,40391,cogs,W-0513,6,1971,,Momentum Group,05/13/2025,-532.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20464,17,1833
NSOPENBALBILL763,#N/A,40391,cogs,W-0604,6,1971,,Momentum Group,06/04/2025,-578.51,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20465,17,1834
NSOPENBALBILL764,#N/A,40391,cogs,W-0609,6,1971,,Momentum Group,06/09/2025,-533.44,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20466,17,1835
NSOPENBALBILL765,#N/A,40391,cogs,PrePayment  - PO45773/NetSuite,30,2411,,Monster displays,04/22/2025,-2668.07,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20467,17,1836
NSOPENBALBILL766,#N/A,40391,cogs,PrePayment  - PO60080/NetSuite,30,2411,,Monster displays,05/11/2025,-1104.19,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20468,17,1837
NSOPENBALBILL768,#N/A,40391,cogs,W11262024,9,1274,,Muraspec Decorative Solutions Limited/Barclays,11/26/2024,-8993.46,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20470,17,1838
NSOPENBALBILL770,#N/A,40391,cogs,PrePayment  - PO60620/NetSuite,30,1275,,National Wallcovering,04/19/2024,-3986.78,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20472,17,1839
NSOPENBALBILL772,#N/A,40391,cogs,37810B,6,1276,,Natucer Ceramica,11/07/2024,-0.10,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20474,17,1840
