External ID,Item internal Id,sold (COGS),Invoice #/Rerence No.,Vendor ID,Vendor,Invoice date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Account ID
NSOPENBALBILL460,40391,cogs,20240801,137,"Jasfer Industry Co., Limited",08/01/2024,$704.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL461,40391,cogs,24JSF05009,137,"Jasfer Industry Co., Limited",08/01/2024,"$4,000.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL462,40391,cogs,24JSF05010,137,"Jasfer Industry Co., Limited",08/01/2024,"$1,566.67",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL463,40391,cogs,24JSF05040,137,"Jasfer Industry Co., Limited",08/01/2024,"$4,683.83",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL464,40391,cogs,24JSF07027,137,"Jasfer Industry Co., Limited",08/01/2024,"$27,370.09",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL465,40391,cogs,23RT122103,137,"Jasfer Industry Co., Limited",08/04/2024,"$76,480.72",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL466,40391,cogs,24JSF05005,137,"Jasfer Industry Co., Limited",08/08/2024,$590.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL467,40391,cogs,24JSF07007,137,"Jasfer Industry Co., Limited",08/08/2024,"$3,776.83",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL468,40391,cogs,24JSF07026,137,"Jasfer Industry Co., Limited",08/08/2024,"$2,605.83",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL469,40391,cogs,AG-GRVG-RZ231015,137,"Jasfer Industry Co., Limited",08/08/2024,"$1,975.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
