NSOPENBALBILL082,40391,cogs,GV2025019,9,1237,"Cambodian Zulite Stone Co., Ltd.",06-01-2025,01/06/2025,4876.07,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL088,40391,cogs,112294,6,1244,Easy Stones,05/21/2025,05/21/2025,1776.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL089,40391,cogs,112662,6,1244,Easy Stones,05/27/2025,05/27/2025,2100.57,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL090,40391,cogs,112673,6,1244,Easy Stones,06-03-2025,03/06/2025,5251.42,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL091,40391,cogs,W/0530,6,2660,F.B. STONES S.R.L.,05/30/2025,05/30/2025,19276.89,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL100,40391,cogs,INV24801,8,2289,Fil Doux Textiles,06/20/2025,06/20/2025,37.49,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL101,40391,cogs,20240524,8,1252,FPD SHPK,05/24/2024,05/24/2024,2192.40,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL102,40391,cogs,26919 / Invoice,15,1252,FPD SHPK,06/30/2025,06/30/2025,27074.77,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL103,40391,cogs,2022/FE/0000488,15,1253,GIBAM SHOPS SPA,10/13/2022,10/13/2022,15010.14,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL104,40391,cogs,2022/FE/0000590,15,1253,GIBAM SHOPS SPA,12/23/2022,12/23/2022,353.77,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL105,40391,cogs,"215, 216, 217, 218",18,1253,GIBAM SHOPS SPA,05-06-2023,06/05/2023,3763.20,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL107,40391,cogs,2023/FE/0000289,15,1253,GIBAM SHOPS SPA,07/26/2023,07/26/2023,77.36,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL108,40391,cogs,2023/FE/0000325,15,1253,GIBAM SHOPS SPA,08-04-2023,04/08/2023,76.52,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL109,40391,cogs,"335, 342, 374, 550",18,1253,GIBAM SHOPS SPA,09/29/2023,09/29/2023,4370.13,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
