External ID,Not uploaded,Item ID,Item,Invoice ID/Reference,Vendor ID,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account
NSOPENBALBILL382,#N/A,40392,freight,GE/004649/2025,133,INTERGLOBO(FREIGHT),02/07/2025,4062.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL383,#N/A,40392,freight,ICB/002281/2025,133,INTERGLOBO(FREIGHT),02/07/2025,100.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL384,#N/A,40392,freight,ICB/002350/2025,133,INTERGLOBO(FREIGHT),02/07/2025,100.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL385,#N/A,40392,freight,GE/004927/2025,133,INTERGLOBO(FREIGHT),02/12/2025,12861.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL386,#N/A,40392,freight,ICB/002553/2025,133,INTERGLOBO(FREIGHT),02/12/2025,100.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL387,#N/A,40392,freight,ICB/002651/2025,133,INTERGLOBO(FREIGHT),02/13/2025,100.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL388,#N/A,40392,freight,ICB/002666/2025,133,INTERGLOBO(FREIGHT),02/13/2025,100.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL389,#N/A,40392,freight,RLN000183/2025,133,INTERGLOBO(FREIGHT),02/24/2025,2765.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL390,#N/A,40392,freight,ICB/003352/2025,133,INTERGLOBO(FREIGHT),02/26/2025,268.61,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL391,#N/A,40392,freight,ICB/003355/2025,133,INTERGLOBO(FREIGHT),02/26/2025,100.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL392,#N/A,40392,freight,ICB/003414/2025,133,INTERGLOBO(FREIGHT),02/27/2025,100.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL393,#N/A,40392,freight,ICB/003417/2025,133,INTERGLOBO(FREIGHT),02/27/2025,100.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL394,#N/A,40392,freight,RLN000217/2025,133,INTERGLOBO(FREIGHT),03/05/2025,8425.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL395,#N/A,40392,freight,GE/016650/2025,133,INTERGLOBO(FREIGHT),03/06/2025,2912.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL396,#N/A,40392,freight,IGM0005992025,133,INTERGLOBO(FREIGHT),03/07/2025,4785.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL397,#N/A,40392,freight,IGM0006002025,133,INTERGLOBO(FREIGHT),03/07/2025,3825.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL398,#N/A,40392,freight,RLN0003622025,133,INTERGLOBO(FREIGHT),03/10/2025,1202.84,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL399,#N/A,40392,freight,RLN0003642025,133,INTERGLOBO(FREIGHT),03/10/2025,352.72,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL400,#N/A,40392,freight,ICB/003962/2025,133,INTERGLOBO(FREIGHT),03/11/2025,100.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL401,#N/A,40392,freight,RLN00418/2025,133,INTERGLOBO(FREIGHT),03/25/2025,6525.71,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL402,#N/A,40392,freight,RLN000422/2025,133,INTERGLOBO(FREIGHT),03/26/2025,4775.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL403,#N/A,40392,freight,RLN000423/2025,133,INTERGLOBO(FREIGHT),03/26/2025,5195.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL404,#N/A,40392,freight,RLN00422/2025,133,INTERGLOBO(FREIGHT),03/26/2025,4775.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL405,#N/A,40392,freight,RLN00423/2025,133,INTERGLOBO(FREIGHT),03/26/2025,5195.80,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL406,#N/A,40392,freight,ICB/006985/2025,133,INTERGLOBO(FREIGHT),05/01/2025,2535.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL407,#N/A,40392,freight,ICB/009186/2025,133,INTERGLOBO(FREIGHT),06/05/2025,125.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL408,#N/A,40392,freight,ICB/009188/2025,133,INTERGLOBO(FREIGHT),06/05/2025,3743.92,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL409,#N/A,40392,freight,ICB/009254/2025,133,INTERGLOBO(FREIGHT),06/05/2025,3760.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL410,#N/A,40392,freight,ICB/009255/2025,133,INTERGLOBO(FREIGHT),06/05/2025,3760.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL411,#N/A,40392,freight,ICB/009256/2025,133,INTERGLOBO(FREIGHT),06/05/2025,125.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL412,#N/A,40392,freight,ICB/009257/2025,133,INTERGLOBO(FREIGHT),06/05/2025,125.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL413,#N/A,40392,freight,ICB/009258/2025,133,INTERGLOBO(FREIGHT),06/05/2025,293.61,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL414,#N/A,40392,freight,ICB/009259/2025,133,INTERGLOBO(FREIGHT),06/05/2025,125.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL415,#N/A,40392,freight,ICB/009260/2025,133,INTERGLOBO(FREIGHT),06/10/2025,5866.92,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL416,#N/A,40392,freight,ICB/009947/2025,133,INTERGLOBO(FREIGHT),06/17/2025,125.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL417,#N/A,40392,freight,ICB/010420/2025,133,INTERGLOBO(FREIGHT),06/24/2025,125.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL684,#N/A,40392,freight,Koby Reimbursable,1944,Koby Singletary,04/28/2025,1560.64,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL691,#N/A,40392,freight,duplicate payment/cr,161,MAERSK LINE,03/14/2025,-1050.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL775,#N/A,40392,freight,45644,1946,Orient Overseas Container line LTD / OOCL (USA) INC.,12/18/2024,-210.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL876,#N/A,40392,freight,14544120,233,SUNTECK TRANSPORT,04/04/2025,668.50,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL891,#N/A,40392,freight,45740,253,U.S. CUSTOMS AND BORDER PROTECTION,03/24/2025,-5411.46,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL892,#N/A,40392,freight,0587015-5 & 0587016-3,253,U.S. CUSTOMS AND BORDER PROTECTION,03/24/2025,-415.04,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL893,#N/A,40392,freight,0618535-01,253,U.S. CUSTOMS AND BORDER PROTECTION,03/24/2025,-32.71,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL894,#N/A,40392,freight,EKH-0898744-1,253,U.S. CUSTOMS AND BORDER PROTECTION,03/24/2025,-32.71,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL895,#N/A,40392,freight,0587014-8 & 0587023-9,253,U.S. CUSTOMS AND BORDER PROTECTION,03/24/2025,-209.03,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL898,#N/A,40392,freight,45832,253,U.S. CUSTOMS AND BORDER PROTECTION,06/24/2025,-48626.44,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL911,#N/A,40392,freight,142055,259,UNITED CARGO EXPRESS,01/01/2025,149.04,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL912,#N/A,40392,freight,142361,259,UNITED CARGO EXPRESS,02/28/2025,1783.09,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL913,#N/A,40392,freight,142500,259,UNITED CARGO EXPRESS,03/31/2025,858.52,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL914,#N/A,40392,freight,142654,259,UNITED CARGO EXPRESS,04/30/2025,190.40,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL915,#N/A,40392,freight,142812,259,UNITED CARGO EXPRESS,05/31/2025,106.56,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL916,#N/A,40392,freight,142963,259,UNITED CARGO EXPRESS,06/30/2025,227.03,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
