External ID,Item internal Id,sold (COGS),Invoice #/Rerence No.,Vendor ID,Vendor,Invoice date,Amount,Subsidiary Id,Subsidiary,Memo,Account
NSOPENBALBILL825,40391,cogs,PrePayment  - PO1262/NetSuite,1285,RICHWOOD HOSPITALITY CO LTD,12-31-24,"-$3,289.33",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL826,40391,cogs,W-0108,1285,RICHWOOD HOSPITALITY CO LTD,01-08-2025,"-$24,479.56",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL827,40391,cogs,W-0113,1285,RICHWOOD HOSPITALITY CO LTD,01-13-25,"-$7,767.49",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL828,40391,cogs,SR431,1285,RICHWOOD HOSPITALITY CO LTD,01-19-25,$280.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL829,40391,cogs,GV047,1285,RICHWOOD HOSPITALITY CO LTD,01-22-25,$77.04,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL830,40391,cogs,SR151-9,1285,RICHWOOD HOSPITALITY CO LTD,01-22-25,"$5,074.37",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL831,40391,cogs,W-0205,1285,RICHWOOD HOSPITALITY CO LTD,02-05-2025,"-$6,334.41",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL832,40391,cogs,SR382-2P1,1285,RICHWOOD HOSPITALITY CO LTD,02-22-25,$441.60,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL833,40391,cogs,W-0307,1285,RICHWOOD HOSPITALITY CO LTD,03-07-2025,"-$2,02,669.70",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL834,40391,cogs,W-0318,1285,RICHWOOD HOSPITALITY CO LTD,03-18-25,"-$21,158.72",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL835,40391,cogs,W-0320,1285,RICHWOOD HOSPITALITY CO LTD,03-20-25,"-$56,281.49",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL836,40391,cogs,"SR307-2,cntr3",1285,RICHWOOD HOSPITALITY CO LTD,03-26-25,$730.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL837,40391,cogs,"SR307-2,cntr4,5,6",1285,RICHWOOD HOSPITALITY CO LTD,03-27-25,"$4,000.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL838,40391,cogs,W-0407,1285,RICHWOOD HOSPITALITY CO LTD,04-07-2025,"-$12,376.54",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL839,40391,cogs,"SR307-7,SR425",1285,RICHWOOD HOSPITALITY CO LTD,04-09-2025,$689.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL840,40391,cogs,ocean freight cost SR411-14P2,1285,RICHWOOD HOSPITALITY CO LTD,05-07-2025,$446.52,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL841,40391,cogs,"SR173-5C,SR173-5K,SR382-3",1285,RICHWOOD HOSPITALITY CO LTD,05-10-2025,"$2,600.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL842,40391,cogs,SR307-2,1285,RICHWOOD HOSPITALITY CO LTD,05-12-2025,"$10,500.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL843,40391,cogs,W-0514,1285,RICHWOOD HOSPITALITY CO LTD,05-14-25,"-$31,608.03",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL844,40391,cogs,SR173-5K,1285,RICHWOOD HOSPITALITY CO LTD,05-18-25,"$10,400.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL845,40391,cogs,SR407-13,1285,RICHWOOD HOSPITALITY CO LTD,05-18-25,"$3,360.14",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL846,40391,cogs,"GV048,cntr3",1285,RICHWOOD HOSPITALITY CO LTD,05-23-25,$64.08,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL847,40391,cogs,SR405-3P,1285,RICHWOOD HOSPITALITY CO LTD,05-23-25,$924.86,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL848,40391,cogs,W-0523,1285,RICHWOOD HOSPITALITY CO LTD,05-23-25,"-$72,560.62",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL849,40391,cogs,SR273-52,1285,RICHWOOD HOSPITALITY CO LTD,05-28-25,"$26,507.29",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL850,40391,cogs,W-0206,1285,RICHWOOD HOSPITALITY CO LTD,06-02-2025,"-$2,315.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL851,40391,cogs,W-0618,1285,RICHWOOD HOSPITALITY CO LTD,06-18-25,"-$83,018.27",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL852,40391,cogs,SR273-35_2nd-1,1285,RICHWOOD HOSPITALITY CO LTD,06-30-25,"$5,386.05",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL853,40391,cogs,SR405-2,1285,RICHWOOD HOSPITALITY CO LTD,06-30-25,$919.10,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL854,40391,cogs,SR407-5,1285,RICHWOOD HOSPITALITY CO LTD,06-30-25,"$1,323.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL855,40391,cogs,SR411-5P2,1285,RICHWOOD HOSPITALITY CO LTD,06-30-25,$90.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL865,40391,cogs,W-1126,2291,"Shenzhen Double Building Materials Co., Ltd.",11-26-24,"-$8,454.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL866,40391,cogs,SI178092,2693,SICIS THE ART FACTORY,05-15-25,"$4,783.11",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL867,40391,cogs,N-1143438,1972,Signature Flooring,06-30-25,"$2,020.39",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL868,40391,cogs,3024504,1541,Sponge Cushion Inc.,07-01-2023,$502.31,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL870,40391,cogs,1101363409,1948,STG Logistics,11-01-2024,$100.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL873,40392,freight,14298381,233,SUNTECK TRANSPORT,01-14-25,"$5,150.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL874,40392,freight,100000384743M,233,SUNTECK TRANSPORT,01-31-25,$68.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL875,40392,freight,14518920,233,SUNTECK TRANSPORT,03-19-25,$0.10,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL876,40392,freight,14544120,233,SUNTECK TRANSPORT,04-04-2025,$668.50,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL881,40391,cogs,Y21I1DWV-hotel,252,Truist Card Services,02-21-25,"$1,008.51",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL882,40392,freight,0614834-1,253,U.S. CUSTOMS AND BORDER PROTECTION,02-03-2025,$217.30,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL883,40392,freight,0616589-9,253,U.S. CUSTOMS AND BORDER PROTECTION,02-10-2025,"$2,051.66",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL884,40392,freight,0614835-8,253,U.S. CUSTOMS AND BORDER PROTECTION,02-13-25,$363.08,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL885,40392,freight,0614730-1,253,U.S. CUSTOMS AND BORDER PROTECTION,02-14-25,$0.27,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL886,40392,freight,0587014-8,253,U.S. CUSTOMS AND BORDER PROTECTION,02-25-25,$130.95,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
